requirement_id,control_id,priority,requirement
G.GV.C-02-req-03,G.GV.C-02,2,"Ethical Decision-Making Model: Apply a model (e.g., ethical impact assessment) for sensitive/high-risk data."
G.GV.C-02-req-04,G.GV.C-02,2,Escalation Pathways: Defined routes for reporting ethical concerns (including anonymous).
G.GV.C-02-req-05,G.GV.C-02,2,Training & Awareness: Mandatory annual ethics training with scenarios.
G.GV.C-02-req-06,G.GV.C-02,3,Algorithmic Redress & Appeal: Establish a formal mechanism for users/subjects to challenge or appeal AI-driven decisions they believe are unfair or incorrect (Human-in-the-loop review).
G.GV.C-03-req-01,G.GV.C-03,1,Ethical Framework Publication: Publish AI-ethics principles and implications.
G.GV.C-03-req-02,G.GV.C-03,1,Human Oversight: Ensure meaningful human-in-the-loop for high-risk automated decisions.
G.GV.C-03-req-03,G.GV.C-03,1,Explainability & Transparency: Disclose when AI influences outcomes.
G.GV.C-03-req-04,G.GV.C-03,2,Fairness Assessments: Quantitative/qualitative bias testing pre-deployment.
G.GV.C-03-req-05,G.GV.C-03,2,Accountability Mechanisms: Ownership for ethical AI and audit trails.
G.GV.C-03-req-06,G.GV.C-03,2,Periodic Review: Annual ethical outcomes review and threshold updates.
G.GV.C-03-req-07,G.GV.C-03,3,"Adversarial Ethical Testing (Red Teaming): Conduct adversarial testing (""Jailbreaking"") to attempt to bypass safety filters and generate harmful/unethical content prior to release."
G.GV.P-01-req-01,G.GV.P-01,1,Policy Framework Structure: Maintain single hierarchical policy architecture across domains.
G.GV.P-01-req-02,G.GV.P-01,1,"Policy Creation & Approval: Owner/approver, purpose, scope, roles, standards, enforcement; endorsed by Top Management/Oversight."
G.GV.P-01-req-03,G.GV.P-01,2,Accessibility & Awareness: Publish on governance portal; annual acknowledgments.
G.GV.P-01-req-04,G.GV.P-01,2,"Exceptions & Waivers: Documented, risk-assessed, authorized, time-bound."
G.GV.P-01-req-05,G.GV.P-01,2,"Version Control & Review: Versioning, approval logs, annual reviews."
G.GV.P-01-req-06,G.GV.P-01,2,Change Management Integration: Revisions follow change control and risk assessment.
G.GV.P-01-req-07,G.GV.P-01,2,Auditability: Retain policies/approvals for audit/certification.
G.GV.P-01-req-08,G.GV.P-01,3,"Effectiveness Metrics: Measure policy effectiveness beyond simple acknowledgement (e.g., quizzes, violation trends, or testing results)."
G.GV.P-02-req-01,G.GV.P-02,1,"Policy Content: IAM, encryption, logging, IR, physical security, VM, acceptable use."
G.GV.P-02-req-02,G.GV.P-02,2,Alignment: Trace to control objectives/baselines.
G.GV.P-02-req-03,G.GV.P-02,2,Implementation Guidance: Linked standards/procedures.
G.GV.P-02-req-04,G.GV.P-02,2,Exception Handling: Deviations only with compensating controls and risk acceptance.
G.GV.P-02-req-05,G.GV.P-02,2,Compliance Verification: Continuous monitoring and internal audit.
G.GV.P-02-req-06,G.GV.P-02,3,"Threat-Driven Review: Update policies triggers by significant changes in the threat landscape (e.g., new ransomware tactics, quantum decryption risks) rather than just annual cycles."
G.GV.P-03-req-01,G.GV.P-03,1,Governance Integration: IR/communications/continuity.
G.GV.P-03-req-02,G.GV.P-03,1,"Scope Definition: Events requiring activation (cyber, AI malfunction, breach, infrastructure loss)."
G.GV.P-03-req-03,G.GV.P-03,1,"Roles & Escalation: Responsibilities, thresholds, timelines."
G.GV.P-03-req-04,G.GV.P-03,2,"Policy Linkages: Cross-reference BIA, continuity, comms plans."
G.GV.P-03-req-05,G.GV.P-03,2,"Testing & Exercises: Annual tabletop, failover, DR testing."
G.GV.P-03-req-06,G.GV.P-03,2,Review & Improvement: Post-incident reviews feed updates.
G.GV.P-03-req-07,G.GV.P-03,3,"Automated Resilience: Mandate that recovery procedures be codified (e.g., Infrastructure as Code) and orchestrated where possible, rather than relying solely on manual runbooks."
G.GV.P-04-req-01,G.GV.P-04,1,"Policy Components: Data governance, model development, transparency, human oversight, fairness, explainability, robustness, lifecycle monitoring."
G.GV.P-04-req-02,G.GV.P-04,1,Approval & Ownership: Owned by CAIO; approved by CEO and Ethics Committee.
G.GV.P-04-req-03,G.GV.P-04,1,Integration: Align with SDLC/security/privacy policies.
G.GV.P-04-req-04,G.GV.P-04,2,Training & Enforcement: Mandatory AI policy training for developers and auditors.
G.GV.P-04-req-05,G.GV.P-04,2,Change Management: Update on regulatory/technology changes.
G.GV.P-04-req-06,G.GV.P-04,3,"Policy-as-Code: Implement key policy constraints (e.g., Model Cards required, specific base images) as automated gates in the MLOps pipeline."
G.GV.P-05-req-01,G.GV.P-05,1,"Purpose Limitation: Explicit, legitimate purposes."
G.GV.P-05-req-02,G.GV.P-05,1,Data Minimization: Collect only necessary attributes; define retention limits.
G.GV.P-05-req-03,G.GV.P-05,1,Rights & Consent: Enable data-subject rights; record consent/lawful basis; FRIA where applicable.
G.GV.P-05-req-04,G.GV.P-05,1,Cross-Border Transfer Controls: Assess and apply safeguards prior to transfer.
G.GV.P-05-req-05,G.GV.P-05,2,Breach Notification: Define thresholds/timelines.
G.GV.P-05-req-06,G.GV.P-05,2,Integration: Align with AI policies for privacy-preserving ML and explainability.
G.GV.P-05-req-07,G.GV.P-05,3,"Privacy Enhancing Technologies (PETs): Mandate the evaluation and application of technical privacy safeguards (e.g., Differential Privacy, Synthetic Data) for high-sensitivity processing."
G.GV.P-06-req-01,G.GV.P-06,1,"Ethics Framework: Define core principles (respect, fairness, accountability, transparency, non-maleficence)."
G.GV.P-06-req-02,G.GV.P-06,2,Reporting Channels: Confidential reporting and non-retaliation.
G.GV.P-06-req-03,G.GV.P-06,2,Decision Guidance: Procedures for escalating ethical dilemmas and COI.
G.GV.P-06-req-04,G.GV.P-06,2,"Integration: Link to HR, compliance, and AI oversight."
G.GV.P-06-req-05,G.GV.P-06,2,Education: Ethics training during onboarding and biennially.
G.GV.P-06-req-06,G.GV.P-06,3,"Incentive Alignment: Mandate the review of performance incentives/compensation to ensure they do not encourage unethical behavior (e.g., prioritizing speed over safety)."
G.GV.P-07-req-01,G.GV.P-07,1,Pre-Employment Screening: Background/reference checks proportionate to role risk.
G.GV.P-07-req-02,G.GV.P-07,1,Onboarding Controls: Security/policy training before access.
G.GV.P-07-req-03,G.GV.P-07,1,Role Changes: Update access rights immediately upon movement.
G.GV.P-07-req-04,G.GV.P-07,2,"Separation Controls: Immediate access revocation, asset return, exit checklist."
G.GV.P-07-req-05,G.GV.P-07,2,Performance & Disciplinary: Link compliance to evaluations; define actions.
G.GV.P-07-req-06,G.GV.P-07,3,"High-Value Role Management: Identify critical roles (e.g., AI Model Engineers, Database Admins) and apply enhanced personnel security (e.g., continuous background vetting, vacation mandates)."
G.GV.P-08-req-01,G.GV.P-08,1,Supplier Classification: Categorize suppliers by risk.
G.GV.P-08-req-02,G.GV.P-08,1,Contractual Clauses: Include security/confidentiality/data-protection/audit rights.
G.GV.P-08-req-03,G.GV.P-08,1,Onboarding Due Diligence: Assess compliance posture and require certifications.
G.GV.P-08-req-04,G.GV.P-08,2,Monitoring: Periodic reviews and breach reporting requirements.
G.GV.P-08-req-05,G.GV.P-08,2,Termination: Secure data return/destruction and access deactivation.
G.GV.P-08-req-06,G.GV.P-08,3,"Supply Chain Visibility (SBOMs & Fourth Parties): Mandate Software Bill of Materials (SBOM) for software vendors and assess fourth-party concentration risk (e.g., critical dependency on a single underlying cloud provider)."
G.GV.P-09-req-01,G.GV.P-09,1,Data Ownership: Assign owners/stewards for critical datasets.
G.GV.P-09-req-02,G.GV.P-09,1,Classification: Apply standard schema.
G.GV.P-09-req-03,G.GV.P-09,1,AI Integration: Provenance/consent for AI data.
G.GV.P-09-req-04,G.GV.P-09,1,Retention: Define periods and destruction methods.
G.GV.P-09-req-05,G.GV.P-09,2,Monitoring: DLP and lineage tracking.
G.GV.P-09-req-06,G.GV.P-09,2,Quality: Define accuracy/validation requirements.
G.GV.P-09-req-07,G.GV.P-09,1,"Automated Data Catalog & Lineage: Implement automated scanning to map data flow and transformation from source to model (lineage), enabling instant impact analysis during incidents."
G.GV.S-01-req-01,G.GV.S-01,1,Standard Development: Documented Standards with purpose/scope/expectations/references/testing/owners.
G.GV.S-01-req-02,G.GV.S-01,1,Alignment and Hierarchy: Traceability between standards and policies/control objectives.
G.GV.S-01-req-03,G.GV.S-01,1,Approval and Version Control: Committee approval; version-controlled.
G.GV.S-01-req-04,G.GV.S-01,2,Accessibility: Central repository access.
G.GV.S-01-req-05,G.GV.S-01,2,Periodic Review: Annual or upon major change.
G.GV.S-01-req-06,G.GV.S-01,2,Training and Enforcement: Train implementers; enforce accountability.
G.GV.S-01-req-07,G.GV.S-01,3,Standard Harmonization: Harmonize multi-framework requirements.
G.GV.S-01-req-08,G.GV.S-01,3,Integration with Risk and Audit: Validation via KPIs/testing/audit.
G.GV.S-01-req-09,G.GV.S-01,3,"Machine-Readable Standards (OSCAL): Publish standards in machine-readable formats (e.g., NIST OSCAL) to enable automated compliance checking and policy-as-code enforcement."
G.GV.S-02-req-01,G.GV.S-02,1,"Baseline Configuration Standards: Recognized baselines (e.g., CIS)."
G.GV.S-02-req-02,G.GV.S-02,1,"Cryptographic Standards: Algorithms, key lengths, rotation, approved libraries."
G.GV.S-02-req-03,G.GV.S-02,1,"Access-Control Standards: Password rules, MFA, PAM/service accounts."
G.GV.S-02-req-04,G.GV.S-02,1,"Patch/Vulnerability Standards: SLAs (e.g., critical ≤ 7 days) and emergency patching."
G.GV.S-02-req-05,G.GV.S-02,1,Change-Control Standards: Review/approval/rollback for prod changes.
G.GV.S-02-req-06,G.GV.S-02,1,"Logging/Monitoring Standards: Events, retention, SIEM correlation."
G.GV.S-02-req-07,G.GV.S-02,2,"AI-Specific Security: Secure deployment, isolation, integrity checks, inference security."
G.GV.S-02-req-08,G.GV.S-02,2,"Application Security (AppSec) Standards: Define secure coding standards (e.g., OWASP Top 10, API Security) and required pre-release checks (SAST/DAST) for all developed software."
G.GV.S-02-req-09,G.GV.S-02,2,"Verification/Enforcement: Automated scanning, audits, pen testing."
G.GV.S-02-req-10,G.GV.S-02,2,Documentation/Exceptions: Waiver process with risk/compensating controls.
G.GV.S-03-req-1,G.GV.S-03,1,"Response Activation Criteria: Thresholds for cyber, AI failure, privacy breach."
G.GV.S-03-req-2,G.GV.S-03,1,"Communication Protocols: Notification timelines, authority to declare, external comms."
G.GV.S-03-req-3,G.GV.S-03,1,Recovery Objectives: RTO/RPO by criticality and classification.
G.GV.S-03-req-4,G.GV.S-03,2,Evidence Preservation: Forensic collection and chain of custody.
G.GV.S-03-req-5,G.GV.S-03,2,Testing & Exercises: Semi-annual simulations; annual full BCDR tests.
G.GV.S-03-req-6,G.GV.S-03,2,Continuous Improvement: Post-incident reports and remediation tracking.
G.GV.S-03-req-7,G.GV.S-03,2,AI-System Failover: Fallback procedures and human-in-the-loop overrides.
G.GV.S-04-req-01,G.GV.S-04,1,"Documentation Standards: Standardized model cards (metadata, purpose, I/O, provenance, metrics, risk classification)."
G.GV.S-04-req-02,G.GV.S-04,1,Transparency & Disclosure: Label AI-generated content; user disclosures as applicable.
G.GV.S-04-req-03,G.GV.S-04,2,AI Lifecycle Controls: Dataset governance; model design/training/evaluation/deployment/monitoring/decommissioning.
G.GV.S-04-req-04,G.GV.S-04,2,"Testing & Validation: Bias, robustness, explainability, performance prior to release."
G.GV.S-04-req-05,G.GV.S-04,2,Ethical Alignment: Fairness/inclusivity benchmarks and human-oversight checkpoints.
G.GV.S-04-req-06,G.GV.S-04,2,"Security/Privacy Integration: Secure storage, encryption, privacy-preserving methods."
G.GV.S-04-req-07,G.GV.S-04,2,Monitoring: Thresholds for drift/anomalies and feedback capture.
G.GV.S-04-req-08,G.GV.S-04,2,Retirement: Criteria/procedures for decommissioning.
G.GV.S-04-req-09,G.GV.S-04,2,"Standardized Evaluation Harnesses: Define ""Golden Datasets"" and automated evaluation harnesses to benchmark all models against a consistent, reproducible standard of performance and safety."
G.LR-01-req-01,G.LR-01,1,"Legal Register by jurisdiction with mapped obligations (notice, consent, transfers, retention, breach)."
G.LR-01-req-02,G.LR-01,1,"Cross-Border Transfers: Safeguards (SCCs, BCRs, adequacy) and TIAs."
G.LR-01-req-03,G.LR-01,2,Gap Assessment & Compliance Plan: Annual assessments and remediation.
G.LR-01-req-04,G.LR-01,2,Vendor Accountability: Contracts mirroring privacy obligations.
G.LR-01-req-05,G.LR-01,2,Regulator Engagement: Protocols and timelines.
G.LR-01-req-06,G.LR-01,2,"DSR Tracking: Logs of DSARs, complaints, outcomes."
G.LR-01-req-07,G.LR-01,2,Record Retention & Deletion: Align to statutes; automate where feasible.
G.LR-01-req-08,G.LR-01,2,"Audit Readiness: Evidence supporting lawful processing, PIAs, data flows."
G.LR-01-req-09,G.LR-01,3,Automated Regulatory Horizon Scanning: Integrate automated legal feeds that track changes in global privacy laws and trigger alerts for necessary control updates.
G.LR-02-req-01,G.LR-02,1,Confidentiality Agreements: NDAs for handling proprietary info.
G.LR-02-req-02,G.LR-02,1,Access Controls: Restrict repo/model access.
G.LR-02-req-03,G.LR-02,1,IP Inventory: Register owned/licensed IP.
G.LR-02-req-04,G.LR-02,2,Ownership & Rights: Employment/vendor agreements with invention assignment.
G.LR-02-req-05,G.LR-02,2,License Management: Track OSS/third-party licenses.
G.LR-02-req-06,G.LR-02,2,Monitoring & Enforcement: Periodic audits for unauthorized use/leakage.
G.LR-02-req-07,G.LR-02,2,Incident Handling: Report suspected infringement; preserve evidence.
G.LR-02-req-08,G.LR-02,2,Training: Annual IP-protection awareness.
G.LR-02-req-09,G.LR-02,3,"Automated Secret Scanning & Watermarking: Implement pre-commit hooks to block secret/IP leaks and digital watermarking (e.g., model weight fingerprinting) to trace stolen assets."
G.LR-03-req-01,G.LR-03,1,Regulatory Register: Inventory AI-related regulations/standards.
G.LR-03-req-02,G.LR-03,1,Human Oversight Mechanisms: Identify/document oversight for high-risk AI.
G.LR-03-req-03,G.LR-03,1,Transparency & User Disclosure: Notify when users interact with AI.
G.LR-03-req-04,G.LR-03,1,Incident Reporting: Procedures for notifying authorities of serious incidents.
G.LR-03-req-05,G.LR-03,2,"Technical Documentation: Model cards, data sheets, test results."
G.LR-03-req-06,G.LR-03,2,Conformity Assessment Procedure: Self-assessment or third-party certification.
G.LR-03-req-07,G.LR-03,2,"Post-Market Monitoring: Periodic reassessment of performance, fairness, security."
G.LR-03-req-08,G.LR-03,3,"Fundamental Rights Impact Assessment (FRIA): Conduct and document assessments on how high-risk AI systems affect human rights (e.g., privacy, non-discrimination, freedom of expression) prior to deployment."
G.LR-04-req-01,G.LR-04,1,"Regulation Register: Identify cybersecurity obligations (e.g., NIS2, HIPAA, PCI DSS)."
G.LR-04-req-02,G.LR-04,1,Notification Obligations: Define timelines/authorities for breach notices.
G.LR-04-req-03,G.LR-04,2,Control Mapping: Map requirements to ISMS controls.
G.LR-04-req-04,G.LR-04,2,"Evidence Retention: Maintain logs, audit trails, pen-test reports."
G.LR-04-req-05,G.LR-04,2,Third-Party Compliance: Require subcontractor equivalency.
G.LR-04-req-06,G.LR-04,2,Continuous Monitoring: Periodic scans/audits; track findings to closure.
G.LR-04-req-07,G.LR-04,3,"Automated Compliance (CSPM/GRC Integration): Implement automated tools to map live infrastructure configurations to regulatory frameworks (e.g., NIST, PCI) in real-time, replacing manual annual checks."
G.LR-05-req-01,G.LR-05,1,"Transparency Controls: Document model purpose, limits, data sources."
G.LR-05-req-02,G.LR-05,1,Ethical Governance: Ethics Committee reviews AI/data-driven projects for fairness.
G.LR-05-req-03,G.LR-05,2,Bias Assessment: Pre-deployment testing with demographic/contextual metrics.
G.LR-05-req-04,G.LR-05,2,Mitigation Plans: Corrective actions when bias thresholds exceeded.
G.LR-05-req-05,G.LR-05,2,Audit Trail: Evidence of reviews/decisions/mitigations.
G.LR-05-req-06,G.LR-05,2,Periodic Re-Evaluation: Reassess fairness post-deployment and after major retraining.
G.LR-05-req-07,G.LR-05,2,Stakeholder Engagement: Involve affected groups/domain experts in high-impact reviews.
G.LR-05-req-08,G.LR-05,3,"Counterfactual Fairness & Adversarial Debiasing: Implement advanced testing (e.g., ""flip"" a user's gender in the data to see if the prediction changes) and adversarial training to mathematically purge sensitive attributes from the model's representation."
G.OV-req-01,G.OV,1,"Values Definition & Governance: Define tenets (Accountability, Fairness, Inclusivity, Transparency, Integrity, Stewardship); leadership endorsement and annual reaffirmation."
G.OV-req-02,G.OV,1,Approved values statement; annual board reaffirmation; evidence of integration.
G.OV-req-03,G.OV,2,Integration into Governance & Policy: Integrate tenets into policies/charters/standards; Tenet Alignment Review; board reporting.
G.OV-req-04,G.OV,2,Decision-Making & Escalation: Use tenets as decision filters; escalation for conflicts; document in minutes/logs.
G.OV-req-05,G.OV,2,Embedding in Culture & Training: Onboarding and annual training; workshops; awareness campaigns.
G.OV-req-06,G.OV,2,Oversight & Accountability: Ethics/AI Governance Committee oversight; metrics and exception reports; periodic independent review.
G.OV-req-07,G.OV,3,Continuous Improvement: Anonymous feedback; analyze cultural drift; revise tenets periodically.
G.PR-01-req-01,G.PR-01,1,Governance Structure: Appoint DPO/privacy leader; define roles.
G.PR-01-req-02,G.PR-01,1,"Privacy Framework: Principles (lawfulness, fairness, transparency, purpose limitation, minimization, accuracy, storage limitation, integrity/confidentiality, accountability)."
G.PR-01-req-03,G.PR-01,1,"Data Inventory & Mapping: Categories, purposes, lawful bases, flows incl. cross-border."
G.PR-01-req-04,G.PR-01,1,Consent & Lawful Basis: Manage lawful bases and consent mechanisms.
G.PR-01-req-05,G.PR-01,1,Data Subject Rights: Mechanisms to fulfill DSARs within SLAs.
G.PR-01-req-06,G.PR-01,1,Incident Management: Breach-notification workflows and timelines.
G.PR-01-req-07,G.PR-01,2,PIA/DPIA: Required for projects/changes involving personal data or AI-based decisions.
G.PR-01-req-08,G.PR-01,2,Privacy by Design & Default: Embed controls; design reviews.
G.PR-01-req-09,G.PR-01,2,Training & Awareness: Annual privacy training; specialized sessions.
G.PR-01-req-10,G.PR-01,2,"Monitoring & Auditing: Reviews, KPIs, and logs."
G.PR-01-req-11,G.PR-01,3,Privacy Engineering & Automation: Implement automated data discovery scanning and DSAR fulfillment workflows to reduce reliance on manual surveys and spreadsheets.
G.RM-01-req-01,G.RM-01,1,Framework Definition aligned with ISO 31000; define risk/impact/likelihood/appetite.
G.RM-01-req-02,G.RM-01,1,Governance Structure: Risk Executive; roles for Risk Owners/Control Owners/Risk Committee.
G.RM-01-req-03,G.RM-01,1,Risk Register: System of record with likelihood/impact/rating/owner/mitigation/residual.
G.RM-01-req-04,G.RM-01,2,"Risk Taxonomy: Strategic, operational, cyber, privacy, AI, compliance, third-party."
G.RM-01-req-05,G.RM-01,2,"Assessment Process: Identification, analysis, evaluation, treatment; quantitative for high-impact."
G.RM-01-req-06,G.RM-01,2,"Integration with Planning: Link to objectives, budgets, control selection."
G.RM-01-req-07,G.RM-01,2,Monitoring & Reporting: Quarterly reviews and Board reporting.
G.RM-01-req-08,G.RM-01,2,"Evidence: Framework doc, register exports, minutes, dashboards."
G.RM-01-req-09,G.RM-01,3,Continuous Improvement: Annual/post-incident updates; lessons learned.
G.RM-01-req-10,G.RM-01,3,"Quantitative Risk Analysis (FAIR): Implement formal quantitative modeling (e.g., FAIR, Monte Carlo simulations) for top-tier risks to calculate Value at Risk (VaR) in financial terms."
G.RM-02-req-01,G.RM-02,1,Risk-Appetite Statement: Board-approved residual risk thresholds.
G.RM-02-req-02,G.RM-02,1,"Tolerance Metrics: Quantitative limits (loss thresholds, AI bias deviation)."
G.RM-02-req-03,G.RM-02,1,Delegation of Authority: Approval tiers for risk acceptance.
G.RM-02-req-04,G.RM-02,1,Communication: Organization-wide training on risk appetite.
G.RM-02-req-05,G.RM-02,1,Review Cadence: Annual or on major changes.
G.RM-02-req-06,G.RM-02,1,"Dynamic Risk Appetite (Automated Guardrails): Implement technical controls that automatically enforce appetite limits (e.g., circuit breakers that stop trading if loss exceeds $X, or block AI deployment if bias exceeds Y%)."
G.RM-02-req-07,G.RM-02,3,"Integration: Embed tolerance in testing, vuln prioritization, AI evaluation metrics."
G.RM-03-req-01,G.RM-03,1,"AI Risk Framework: Ethical, technical, data, security, regulatory, societal."
G.RM-03-req-02,G.RM-03,1,"AI Risk Register with tier, mitigations, owner, validation outcomes."
G.RM-03-req-03,G.RM-03,2,"Lifecycle Risk Assessments at design, data, training, deployment, operation, retirement."
G.RM-03-req-04,G.RM-03,2,Testing/TEVV Integration into risk analysis.
G.RM-03-req-05,G.RM-03,2,Ethics & Human Oversight points for decisions/conflicts.
G.RM-03-req-06,G.RM-03,2,"Incident Reporting for anomalies (drift, bias, explainability failures)."
G.RM-03-req-07,G.RM-03,2,"Continuous Monitoring for drift, bias, performance."
G.RM-03-req-08,G.RM-03,2,Records Management: Traceability for data/design/testing artifacts.
G.RM-03-req-09,G.RM-03,3,Review and Audit: Annual reassessment and independent audit for high-risk AI.
G.RM-03-req-10,G.RM-03,3,"Automated MLOps Governance Gates: Implement automated ""Policy-as-Code"" gates in the CI/CD pipeline that prevent model deployment if risk requirements (e.g., Model Card missing, Bias threshold exceeded) are not met."
G.RM-04-req-01,G.RM-04,1,Vulnerability Management: Automated scanning + manual testing with SLAs.
G.RM-04-req-02,G.RM-04,1,Risk Evaluation: Quantify exposure by impact/probability.
G.RM-04-req-03,G.RM-04,1,"Treatment Planning: Mitigations, owners, deadlines in risk register."
G.RM-04-req-04,G.RM-04,2,Threat Modeling: Annual/event-driven for key assets/apps.
G.RM-04-req-05,G.RM-04,2,"KRI Development: Patching, phishing, MTTD/MTTR, etc."
G.RM-04-req-06,G.RM-04,2,Continuous Monitoring: SIEM/XDR for near-real-time insight.
G.RM-04-req-07,G.RM-04,2,Reporting: Quarterly dashboards to Security Committee/Board.
G.RM-04-req-08,G.RM-04,2,Integration with AI Systems: Include model/security/data-exfiltration threats.
G.RM-04-req-09,G.RM-04,3,Review & Improvement: Annual evaluation and lessons learned.
G.RM-04-req-10,G.RM-04,3,"Supply Chain Risk Integration: Integrate real-time vendor risk feeds (e.g., zero-day alerts for third-party software) directly into the cybersecurity risk register for immediate triage."
G.RM-05-req-01,G.RM-05,1,Vendor Classification by criticality/data/regulatory exposure.
