arise_control_id,prEN 18229-1 Reference,rationale
G.GV.C-02,Art. 13 - Transparency Disclosures,"ARISE control COC: Data Ethics (GOVERN) maps to Art. 13 - Transparency Disclosures of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.C-02-req-01 (Data Ethics Principles: Define fairness, transparency, accountability, privacy, inclusivity.) -- matched terms: accountability, ethics, fairness, transparency"
G.GV.C-03,Art. 12 - Logging Specifications,"ARISE control COC: Ethical Principles for AI & Tech (GOVERN) maps to Art. 12 - Logging Specifications of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 5 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.C-03-req-01 (Ethical Framework Publication: Publish AI-ethics principles and implications.) -- matched terms: ethics"
G.GV.P-01,Arts. 12-14 - Trustworthiness,"ARISE control Core Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 2 of 8 requirements demonstrate direct keyword alignment to this standard: G.GV.P-01-req-02 (Policy Creation & Approval: Owner/approver, purpose, scope, roles, standards, enforcement; endorsed by Top Management/Oversight.) -- matched terms: oversight"
G.GV.P-02,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Security Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-02-req-01 (Policy Content: IAM, encryption, logging, IR, physical security, VM, acceptable use.) -- matched terms: log, logging. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-03,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Response & Resilience Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Ensure preparedness, continuity, and rapid recovery via IR, BCP, and DR policies.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.GV.P-04,Arts. 12-14 - Trustworthiness Requirements,"ARISE control AI Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-04-req-01 (Policy Components: Data governance, model development, transparency, human oversight, fairness, explainability, robustness, lifecycle monitoring.) -- matched terms: explainab, fairness, human oversight, oversight, transparency"
G.GV.P-05,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Privacy Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-05-req-03 (Rights & Consent: Enable data-subject rights; record consent/lawful basis; FRIA where applicable.) -- matched terms: record"
G.GV.P-06,Art. 12 - Logging Specifications,"ARISE control Ethics Policies (GOVERN) maps to Art. 12 - Logging Specifications of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-06-req-01 (Ethics Framework: Define core principles (respect, fairness, accountability, transparency, non-maleficence).) -- matched terms: accountability, ethics, fairness, transparency"
G.GV.P-07,Arts. 12-14 - Trustworthiness Requirements,"ARISE control HR Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Ensure HR practices support secure, ethical, and responsible conduct throughout the employee lifecycle.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.GV.P-08,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Supply-Chain Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Ensure suppliers and partners meet organizational security, privacy, and ethical standards throughout the contract lifecycle.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.GV.P-09,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Data-Governance Policies (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-09-req-07 (Automated Data Catalog & Lineage: Implement automated scanning to map data flow and transformation from source to model (lineage), enabling instant impact analysis during incidents.) -- matched terms: log. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.GV.S-01,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Core Standards (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-01-req-06 (Training and Enforcement: Train implementers; enforce accountability.) -- matched terms: accountability. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.GV.S-02,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Security Standards (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.GV.S-02-req-06 (Logging/Monitoring Standards: Events, retention, SIEM correlation.) -- matched terms: log, logging. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.GV.S-03,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Response & Resilience Standards (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Define standardized processes/criteria for incident response, DR, and business continuity including AI-specific failure modes.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.GV.S-04,Art. 13 - Transparency Disclosures,"ARISE control AI Standards (GOVERN) maps to Art. 13 - Transparency Disclosures of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-04-req-02 (Transparency & Disclosure: Label AI-generated content; user disclosures as applicable.) -- matched terms: disclosure, transparency"
G.LR-01,Art. 14 - Human Oversight Mechanisms,"ARISE control Data Privacy Compliance (GOVERN) maps to Art. 14 - Human Oversight Mechanisms of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 9 requirements demonstrate direct keyword alignment to this standard: G.LR-01-req-04 (Vendor Accountability: Contracts mirroring privacy obligations.) -- matched terms: accountability"
G.LR-02,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Intellectual Property (IP) Management (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Protect IP assets—including proprietary data, algorithms, code, documentation, and AI models—while respecting third-party rights.. None of the 9 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.LR-03,Art. 13 - Transparency Disclosures,"ARISE control AI Regulatory Compliance (GOVERN) maps to Art. 13 - Transparency Disclosures of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-03-req-02 (Human Oversight Mechanisms: Identify/document oversight for high-risk AI.) -- matched terms: human oversight, oversight"
G.LR-04,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Cybersecurity Regulatory Compliance (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.LR-04-req-04 (Evidence Retention: Maintain logs, audit trails, pen-test reports.) -- matched terms: audit trail, log. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.LR-05,Art. 12 - Logging Specifications,"ARISE control Ethical Use, Fairness & Bias Compliance (GOVERN) maps to Art. 12 - Logging Specifications of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 7 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-05-req-01 (Transparency Controls: Document model purpose, limits, data sources.) -- matched terms: transparency"
G.OV,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Org Values & Governance (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 7 requirements demonstrate direct keyword alignment to this standard: G.OV-req-01 (Values Definition & Governance: Define tenets (Accountability, Fairness, Inclusivity, Transparency, Integrity, Stewardship); leadership endorsement and annual reaffirmation.) -- matched terms: accountability, fairness, transparency"
G.PR-01,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Privacy Program (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 2 of 11 requirements demonstrate direct keyword alignment to this standard: G.PR-01-req-02 (Privacy Framework: Principles (lawfulness, fairness, transparency, purpose limitation, minimization, accuracy, storage limitation, integrity/confidentiality, accountability).) -- matched terms: accountability, fairness, transparency"
G.RM-01,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Risk Management Framework (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-01-req-03 (Risk Register: System of record with likelihood/impact/rating/owner/mitigation/residual.) -- matched terms: record. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.RM-02,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Risk Appetite and Tolerance (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.RM-02-req-02 (Tolerance Metrics: Quantitative limits (loss thresholds, AI bias deviation).) -- matched terms: bias"
G.RM-03,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Risk Management Program: AI (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 5 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-03-req-05 (Ethics & Human Oversight points for decisions/conflicts.) -- matched terms: ethics, human oversight, oversight"
G.RM-04,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Risk-Management Program: Cybersecurity (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Continuously identify, analyze, and mitigate cybersecurity risks aligned to threat intel, business impact, and obligations.. None of the 10 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.RM-05,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Risk-Management Program: Third-Party (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Identify and manage risks posed by vendors/partners to protect data, systems, and AI integrity.. None of the 9 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.ST.B,Arts. 12-14 - Trustworthiness Requirements,"ARISE control System Boundaries (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.B-req-1 (Boundary Definition: Maintain current diagrams/inventories delineating in-scope vs. out-of-scope components, trust zones, and interfaces.) -- matched terms: trust. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.ST.O-01,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Mission Statement (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 7 requirements demonstrate direct keyword alignment to this standard: G.ST.O-01-req-1 (Mission Definition: Maintain a written mission statement that explains who is served, services/outcomes provided, and principles that guide trustworthy technology and data stewardship.) -- matched terms: log, trust"
G.ST.O-02,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Goals & Context (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.O-02-req-5 (Records: Maintain context register and review minutes.) -- matched terms: record. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-01,Arts. 12-14 - Trustworthiness Requirements,"ARISE control AI Scope (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-01-req-6 (Evidence: Keep inventory exports, risk decisions, approvals, and change records.) -- matched terms: record. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-02,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Security Scope (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Establish which assets and environments are protected by the security program and how protection is proportionate to risk and criticality.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
G.ST.S-03,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Regulatory Scope (GOVERN) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 5 requirements demonstrate direct keyword alignment to this standard: G.ST.S-03-req-3 (Evidence Strategy: Define required records, retention, and reporting triggers.) -- matched terms: record. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
M.CM,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Change Management (MANAGE) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Ensure all changes to systems, datasets, AI models, and configurations are risk-assessed, approved, and auditable.. None of the 8 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
M.DV-01,Arts. 12-14 - Trustworthiness,"ARISE control AI System Lifecycle (MANAGE) maps to Arts. 12-14 - Trustworthiness of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 8 requirements demonstrate direct keyword alignment to this standard: M.DV-01-req-03 (Documentation Requirements: Require model cards, data sheets, and fairness/robustness testing reports.) -- matched terms: fairness. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
M.DV-02,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Software Development Lifecycle (SDLC) (MANAGE) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). The control addresses: Embed secure coding, privacy, and responsible-AI practices in all software development.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-1 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-1 language to one or more requirements to strengthen direct traceability."
M.HR,Art. 12 - Logging Specifications,"ARISE control Human Resources (MANAGE) maps to Art. 12 - Logging Specifications of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.HR-req-02 (Onboarding: Require confidentiality, acceptable-use, and ethics acknowledgments.) -- matched terms: ethics"
M.OV-01,Art. 12 - Logging Specifications,"ARISE control Ethics Oversight Committee (MANAGE) maps to Art. 12 - Logging Specifications of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-01-req-04 (Ethical Review Process: Evaluate bias, fairness, cultural impact, explainability, and proportionality.) -- matched terms: bias, explainab, fairness"
M.OV-02,Art. 14 - Human Oversight Mechanisms,"ARISE control Privacy Oversight Committee (MANAGE) maps to Art. 14 - Human Oversight Mechanisms of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-02-req-01 (Charter & Authority: Define committee scope for privacy oversight.) -- matched terms: oversight"
M.OV-03,Art. 14 - Human Oversight Mechanisms,"ARISE control Security Oversight Committee (MANAGE) maps to Art. 14 - Human Oversight Mechanisms of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 1 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-03-req-07 (Cyber-Physical & Safety Risk Integration: Expand oversight to include Operational Technology (OT) and Cyber-Physical Systems (CPS), ensuring digital security decisions do not compromise physical safety (e.g., manufacturing robots, autonomous vehicles).) -- matched terms: log, oversight. These requirements substantively address prEN 18229-1 obligations at the individual requirement level, confirming strong traceability."
M.PM,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Performance Metrics (MANAGE) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 8 requirements demonstrate direct keyword alignment to this standard: M.PM-req-01 (KPI Framework — Define standardized KPIs and KRIs aligned with strategic goals and risk appetite (e.g., MTTD, patch compliance, AI model drift rate, bias index, data-loss incidents, control-audit pass rates).) -- matched terms: bias"
M.PR,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Privacy Program (MANAGE) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 3 of 8 requirements demonstrate direct keyword alignment to this standard: M.PR-req-01 (ROPA & Data Maps — Maintain comprehensive processing inventories (Records of Processing Activities).) -- matched terms: record"
M.RM-01,Arts. 12-14 - Trustworthiness Requirements,"ARISE control Third-Party Risk Management (MANAGE) maps to Arts. 12-14 - Trustworthiness Requirements of prEN 18229-1, which covers AI trustworthiness requirements including logging specifications (Art. 12), transparency disclosures (Art. 13), and human oversight mechanisms (Art. 14). 2 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-01-req-05 (AI-Specific Controls — Validate vendor AI systems for fairness, explainability, safety, and compliance with applicable regulations.) -- matched terms: explainab, fairness"
