arise_control_id,ISO/IEC 42001 Control ID(s),ISO/IEC 42001 Control Item(s),rationale
G.GV.C-03,4.2; 5.3,"4.2: Interested parties and needs; 5.3: Roles, responsibilities, and authorities","COC: Ethical Principles for AI & Tech supports ISO/IEC 42001 requirement(s) 4.2, 5.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-01,5.2; 8.2,5.2: AI policy; 8.2: AI risk assessment and controls,"Core Policies supports ISO/IEC 42001 requirement(s) 5.2, 8.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-02,8.2.7,8.2.7: Security and robustness controls,"Security Policies supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-03,8.2.8,"8.2.8: Transparency, explainability, and response controls","Response & Resilience Policies supports ISO/IEC 42001 requirement(s) 8.2.8 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-04,5.2; 8.1,5.2: AI policy; 8.1: Operational planning and control,"AI Policies supports ISO/IEC 42001 requirement(s) 5.2, 8.1 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-05,8.2.3,8.2.3: Data and privacy related operational controls,"Privacy Policies supports ISO/IEC 42001 requirement(s) 8.2.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-06,5.3,"5.3: Roles, responsibilities, and authorities","Ethics Policies supports ISO/IEC 42001 requirement(s) 5.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-07,8.2.2,8.2.2: Operational/acceptable-use controls,"HR Policies supports ISO/IEC 42001 requirement(s) 8.2.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-08,8.2.9,8.2.9: Third-party and supply-chain controls,"Supply-Chain Policies supports ISO/IEC 42001 requirement(s) 8.2.9 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.P-09,8.2.3,8.2.3: Data and privacy related operational controls,"Data-Governance Policies supports ISO/IEC 42001 requirement(s) 8.2.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.S-01,8.1-8.2,8.1-8.2: Operational planning and control,"Core Standards supports ISO/IEC 42001 requirement(s) 8.1-8.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.S-02,8.2.7,8.2.7: Security and robustness controls,"Security Standards supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.S-03,8.2.8,"8.2.8: Transparency, explainability, and response controls","Response & Resilience Standards supports ISO/IEC 42001 requirement(s) 8.2.8 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.GV.S-04,8.3,8.3: AI risk treatment and operational monitoring,"AI Standards supports ISO/IEC 42001 requirement(s) 8.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.LR-01,8.2.3,8.2.3: Data and privacy related operational controls,"Data Privacy Compliance supports ISO/IEC 42001 requirement(s) 8.2.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.LR-02,8.2.4,8.2.4: IP and access-related operational controls,"Intellectual Property (IP) Management supports ISO/IEC 42001 requirement(s) 8.2.4 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.LR-03,9.1-9.3,"9.1-9.3: Monitoring, measurement, analysis, and evaluation","AI Regulatory Compliance supports ISO/IEC 42001 requirement(s) 9.1-9.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.LR-04,8.2.7,8.2.7: Security and robustness controls,"Cybersecurity Regulatory Compliance supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.LR-05,8.2.5,"8.2.5: Fairness, ethical, and security-related operational controls","Ethical Use Fairness & Bias Compliance supports ISO/IEC 42001 requirement(s) 8.2.5 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.OV,5.2; 5.3,"5.2: AI policy; 5.3: Roles, responsibilities, and authorities","Org Values & Governance supports ISO/IEC 42001 requirement(s) 5.2, 5.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.PR-01,8.2.3,8.2.3: Data and privacy related operational controls,"Privacy Program supports ISO/IEC 42001 requirement(s) 8.2.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.RM-01,6.1,6.1: Actions to address risks and opportunities,"Risk Management Framework supports ISO/IEC 42001 requirement(s) 6.1 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.RM-02,6.1,6.1: Actions to address risks and opportunities,"Risk Appetite and Tolerance supports ISO/IEC 42001 requirement(s) 6.1 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.RM-03,6.1; 8.2,6.1: Actions to address risks and opportunities; 8.2: AI risk assessment and controls,"Risk Management Program: AI supports ISO/IEC 42001 requirement(s) 6.1, 8.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.RM-04,8.2.7,8.2.7: Security and robustness controls,"Risk-Management Program: Cybersecurity supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.RM-05,8.2.9,8.2.9: Third-party and supply-chain controls,"Risk-Management Program: Third-Party supports ISO/IEC 42001 requirement(s) 8.2.9 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.ST.B,8.2,8.2: AI risk assessment and controls,"System Boundaries supports ISO/IEC 42001 requirement(s) 8.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.ST.O-01,4.3,4.3: AIMS scope,"Mission Statement supports ISO/IEC 42001 requirement(s) 4.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.ST.O-02,4.1; 6.2,4.1: Organizational context; 6.2: AI objectives and planning,"Goals & Context supports ISO/IEC 42001 requirement(s) 4.1, 6.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.ST.S-01,8.1-8.3,8.1-8.3: Operational planning and control,"AI Scope supports ISO/IEC 42001 requirement(s) 8.1-8.3 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.ST.S-02,8.2,8.2: AI risk assessment and controls,"Security Scope supports ISO/IEC 42001 requirement(s) 8.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
G.ST.S-03,5.2,5.2: AI policy,"Regulatory Scope supports ISO/IEC 42001 requirement(s) 5.2 by addressing governance, policy, scope, legal/regulatory, and risk governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
I.AM-01,4.3; 8.1-8.3,4.3: AIMS scope; 8.1-8.3: Operational planning and control,"AI System Inventory supports ISO/IEC 42001 requirement(s) 4.3, 8.1-8.3 by addressing identify, inventory, risk identification, impacts, and threat/supply-chain context. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
I.IM-01,8.2,8.2: AI risk assessment and controls,"AI Impacts supports ISO/IEC 42001 requirement(s) 8.2 by addressing identify, inventory, risk identification, impacts, and threat/supply-chain context. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
I.RM-01,6.1,6.1: Actions to address risks and opportunities,"Risk Identification supports ISO/IEC 42001 requirement(s) 6.1 by addressing identify, inventory, risk identification, impacts, and threat/supply-chain context. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
I.RM-02,6.1; 8.2.5,"6.1: Actions to address risks and opportunities; 8.2.5: Fairness, ethical, and security-related operational controls","Insider Threat supports ISO/IEC 42001 requirement(s) 6.1, 8.2.5 by addressing identify, inventory, risk identification, impacts, and threat/supply-chain context. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
I.SC-01,8.3,8.3: AI risk treatment and operational monitoring,"Supply Chain Risk supports ISO/IEC 42001 requirement(s) 8.3 by addressing identify, inventory, risk identification, impacts, and threat/supply-chain context. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
I.TH-02,9.1; 8.2.7,"9.1: Monitoring, measurement, analysis, and evaluation; 8.2.7: Security and robustness controls","AI Operational Thresholds supports ISO/IEC 42001 requirement(s) 9.1, 8.2.7 by addressing identify, inventory, risk identification, impacts, and threat/supply-chain context. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.CM,8.2.6,8.2.6: Change management controls,"Change Management supports ISO/IEC 42001 requirement(s) 8.2.6 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.DV-01,8.1-8.3,8.1-8.3: Operational planning and control,"AI System Lifecycle supports ISO/IEC 42001 requirement(s) 8.1-8.3 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.HR,7.2; 7.3,7.2: Competence; 7.3: Awareness,"Human Resources supports ISO/IEC 42001 requirement(s) 7.2, 7.3 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.OV-01,5.3,"5.3: Roles, responsibilities, and authorities","Ethics Oversight Committee supports ISO/IEC 42001 requirement(s) 5.3 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.OV-02,8.2.3,8.2.3: Data and privacy related operational controls,"Privacy Oversight Committee supports ISO/IEC 42001 requirement(s) 8.2.3 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.OV-03,8.2.7,8.2.7: Security and robustness controls,"Security Oversight Committee supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.PM,9.3,9.3: Management review,"Performance Metrics supports ISO/IEC 42001 requirement(s) 9.3 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.PR,8.2,8.2: AI risk assessment and controls,"Privacy Program supports ISO/IEC 42001 requirement(s) 8.2 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.RM-01,8.2.9,8.2.9: Third-party and supply-chain controls,"Third-Party Risk Management supports ISO/IEC 42001 requirement(s) 8.2.9 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.RM-02,6.1; 8.2,6.1: Actions to address risks and opportunities; 8.2: AI risk assessment and controls,"AI Risk Management supports ISO/IEC 42001 requirement(s) 6.1, 8.2 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.RM-03,8.2.7,8.2.7: Security and robustness controls,"Cybersecurity Risk Management supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
M.RP,9.3,9.3: Management review,"Reporting supports ISO/IEC 42001 requirement(s) 9.3 by addressing management, lifecycle, oversight, metrics, reporting, and change governance. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.AC.M-01,10.3,10.3: Continual improvement,"Bias supports ISO/IEC 42001 requirement(s) 10.3 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.AC.M-02,8.2.7,8.2.7: Security and robustness controls,"Robustness supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.AC.M-03,8.2.8,"8.2.8: Transparency, explainability, and response controls","Explainability supports ISO/IEC 42001 requirement(s) 8.2.8 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.AC.S-01,8.2,8.2: AI risk assessment and controls,"Datasets & Tagging supports ISO/IEC 42001 requirement(s) 8.2 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.AC.S-02,8.2.7,8.2.7: Security and robustness controls,"AI-Specific Attack Vectors supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.AT-01,7.3,7.3: Awareness,"AI Training supports ISO/IEC 42001 requirement(s) 7.3 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.AT-03,7.3,7.3: Awareness,"Governance Training supports ISO/IEC 42001 requirement(s) 7.3 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.DS-01,8.2.3,8.2.3: Data and privacy related operational controls,"Classification & Handling supports ISO/IEC 42001 requirement(s) 8.2.3 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.DS-02,8.2.5,"8.2.5: Fairness, ethical, and security-related operational controls","Cryptographic Management supports ISO/IEC 42001 requirement(s) 8.2.5 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.IM,8.2.4,8.2.4: IP and access-related operational controls,"Identity Management supports ISO/IEC 42001 requirement(s) 8.2.4 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.PC,8.2.3,8.2.3: Data and privacy related operational controls,"Privacy Controls supports ISO/IEC 42001 requirement(s) 8.2.3 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.RC,8.2.7,8.2.7: Security and robustness controls,"Resilience Controls supports ISO/IEC 42001 requirement(s) 8.2.7 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
P.SC,8.3,8.3: AI risk treatment and operational monitoring,"Supply Chain supports ISO/IEC 42001 requirement(s) 8.3 by addressing protection, privacy, access, ai controls, data handling, development, and resilience. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
R.IC.E-01,10.2,10.2: Nonconformity and corrective action,"Regulatory Reporting supports ISO/IEC 42001 requirement(s) 10.2 by addressing response, reporting, recovery, incident handling, and restoration. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
R.IC.I-02,5.1; 9.3,5.1: Leadership and commitment; 9.3: Management review,"Top Management supports ISO/IEC 42001 requirement(s) 5.1, 9.3 by addressing response, reporting, recovery, incident handling, and restoration. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
R.IC.I-03,8.4,8.4: AI system impact assessment and incident/impact handling,"Incident Response Team supports ISO/IEC 42001 requirement(s) 8.4 by addressing response, reporting, recovery, incident handling, and restoration. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
R.IC.P,8.4; 9.3,8.4: AI system impact assessment and incident/impact handling; 9.3: Management review,"Public Updates / Disclosures supports ISO/IEC 42001 requirement(s) 8.4, 9.3 by addressing response, reporting, recovery, incident handling, and restoration. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
R.IC.R,8.4; 9.1,"8.4: AI system impact assessment and incident/impact handling; 9.1: Monitoring, measurement, analysis, and evaluation","Recovery Activity & Restoration supports ISO/IEC 42001 requirement(s) 8.4, 9.1 by addressing response, reporting, recovery, incident handling, and restoration. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
R.IR-01,8.2.7; 10.2,8.2.7: Security and robustness controls; 10.2: Nonconformity and corrective action,"Incident Response: AI supports ISO/IEC 42001 requirement(s) 8.2.7, 10.2 by addressing response, reporting, recovery, incident handling, and restoration. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
V.AD-01,9.2; 10.2,9.2: Internal audit; 10.2: Nonconformity and corrective action,"External Audit: AI Audit supports ISO/IEC 42001 requirement(s) 9.2, 10.2 by addressing verification, validation, internal audit, external audit, testing, and evaluation. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
V.CI-02,9.2,9.2: Internal audit,"Internal Audit: AI Audit supports ISO/IEC 42001 requirement(s) 9.2 by addressing verification, validation, internal audit, external audit, testing, and evaluation. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
V.TE-01,8.2; 9.1,"8.2: AI risk assessment and controls; 9.1: Monitoring, measurement, analysis, and evaluation","Testing supports ISO/IEC 42001 requirement(s) 8.2, 9.1 by addressing verification, validation, internal audit, external audit, testing, and evaluation. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
V.TE-02,9.1; 10.2,"9.1: Monitoring, measurement, analysis, and evaluation; 10.2: Nonconformity and corrective action","Evaluation supports ISO/IEC 42001 requirement(s) 9.1, 10.2 by addressing verification, validation, internal audit, external audit, testing, and evaluation. The mapped ISO/IEC 42001 item(s) require the organization to establish, operate, evaluate, or improve AIMS controls that are directly supported by this ARISE control."
