arise_control_id,prEN 18282 Reference,rationale
G.LR-05,Art. 15(cyber) - AI Cybersecurity,"ARISE control Ethical Use, Fairness & Bias Compliance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-05-req-03 (Bias Assessment: Pre-deployment testing with demographic/contextual metrics.) -- matched terms: assessment"
G.OV,Art. 15(cyber) - AI Cybersecurity,"ARISE control Org Values & Governance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Establish and embed organizational values and ethical tenets guiding secure, ethical, and equitable design/deployment of AI and digital systems.. None of the 7 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.PR-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Privacy Program (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 11 requirements demonstrate direct keyword alignment to this standard: G.PR-01-req-06 (Incident Management: Breach-notification workflows and timelines.) -- matched terms: incident"
G.RM-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk Management Framework (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-01-req-05 (Assessment Process: Identification, analysis, evaluation, treatment; quantitative for high-impact.) -- matched terms: assessment"
G.RM-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk Appetite and Tolerance (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Define and approve thresholds for acceptable risk across domains.. None of the 7 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.RM-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk Management Program: AI (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 5 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-03-req-01 (AI Risk Framework: Ethical, technical, data, security, regulatory, societal.) -- matched terms: security"
G.RM-04,Art. 15(cyber) - Security Monitoring & Detection,"ARISE control Risk-Management Program: Cybersecurity (GOVERN) maps to Art. 15(cyber) - Security Monitoring & Detection of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 6 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-04-req-01 (Vulnerability Management: Automated scanning + manual testing with SLAs.) -- matched terms: scan, vulnerability"
G.RM-05,Art. 15(cyber) - AI Cybersecurity,"ARISE control Risk-Management Program: Third-Party (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 9 requirements demonstrate direct keyword alignment to this standard: G.RM-05-req-02 (Due Diligence: Questionnaires, attestations (SOC 2, ISO 27001/42001), independent assessments.) -- matched terms: assessment"
G.ST.B,Art. 15(cyber) - AI Cybersecurity,"ARISE control System Boundaries (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.B-req-3 (Interface Control: Identify data flows/protocols between zones; require explicit allow rules and identity-aware controls.) -- matched terms: identity. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.ST.O-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Mission Statement (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.ST.O-01-req-2 (Governance Alignment: Link the mission to governance objectives (security, privacy, resilience, responsible AI) with accountable owners and measurable outcomes.) -- matched terms: security"
G.ST.O-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Goals & Context (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.O-02-req-1 (Context Analysis: Document internal (culture/tech) and external (threat/legal) factors.) -- matched terms: threat. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control AI Scope (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-01-req-3 (Lifecycle Coverage: Declare governed lifecycle stages (data, training, evaluation, deployment, monitoring, retirement).) -- matched terms: monitor. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Security Scope (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. The control addresses: Establish which assets and environments are protected by the security program and how protection is proportionate to risk and criticality.. None of the 6 individual requirements contain explicit keyword matches to prEN 18282 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18282 language to one or more requirements to strengthen direct traceability."
G.ST.S-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control Regulatory Scope (GOVERN) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 5 requirements demonstrate direct keyword alignment to this standard: G.ST.S-03-req-4 (Change Monitoring: Track regulatory changes and update obligations/controls.) -- matched terms: monitor. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
M.CM,Art. 15(cyber) - AI Cybersecurity,"ARISE control Change Management (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 8 requirements demonstrate direct keyword alignment to this standard: M.CM-req-08 (Configuration Drift Detection: Implement automated monitoring tools to detect and alert on unauthorized changes (Drift) that occur outside the formal change management process.) -- matched terms: authoriz, detect, monitor. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
M.DV-01,Art. 15(cyber) - Security Testing,"ARISE control AI System Lifecycle (MANAGE) maps to Art. 15(cyber) - Security Testing of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 3 of 8 requirements demonstrate direct keyword alignment to this standard: M.DV-01-req-01 (Standardized AI Lifecycle Stages: (ideation → deployment → monitoring).) -- matched terms: monitor"
M.DV-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Software Development Lifecycle (SDLC) (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 4 of 7 requirements demonstrate direct keyword alignment to this standard: M.DV-02-req-04 (Require threat modeling and security testing (SAST, DAST, IAST).) -- matched terms: security, threat"
M.HR,Art. 15(cyber) - AI Cybersecurity,"ARISE control Human Resources (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.HR-req-06 (Training: Provide annual security, privacy, and AI ethics training.) -- matched terms: security"
M.OV-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Ethics Oversight Committee (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-01-req-05 (Minutes & Records: Maintain evidence of reviews, decisions, and monitoring requirements.) -- matched terms: monitor. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
M.OV-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control Privacy Oversight Committee (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-02-req-02 (Review of PIAs/DPIAs: Approve privacy risk assessments and impact assessments for new systems.) -- matched terms: assessment"
M.OV-03,Art. 15(cyber) - Security Monitoring & Detection,"ARISE control Security Oversight Committee (MANAGE) maps to Art. 15(cyber) - Security Monitoring & Detection of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 6 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-03-req-01 (Charter & Mandate: Define responsibilities for security posture, program reviews, and approval authority.) -- matched terms: security"
M.PM,Art. 15(cyber) - Security Monitoring & Detection,"ARISE control Performance Metrics (MANAGE) maps to Art. 15(cyber) - Security Monitoring & Detection of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 8 requirements demonstrate direct keyword alignment to this standard: M.PM-req-01 (KPI Framework — Define standardized KPIs and KRIs aligned with strategic goals and risk appetite (e.g., MTTD, patch compliance, AI model drift rate, bias index, data-loss incidents, control-audit pass rates).) -- matched terms: incident"
M.PR,Art. 15(cyber) - AI Cybersecurity,"ARISE control Privacy Program (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 8 requirements demonstrate direct keyword alignment to this standard: M.PR-req-08 (Automated Data Lineage: Implement technical scanning tools to generate dynamic data lineage graphs, proving the provenance and flow of sensitive data across complex AI pipelines.) -- matched terms: scan. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
M.RM-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control Third-Party Risk Management (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 4 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-01-req-02 (Due Diligence: Perform pre-contract risk assessments covering security, privacy, AI governance, and regulatory posture.) -- matched terms: assessment, security"
M.RM-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control AI Risk Management (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 4 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-02-req-01 (AI Risk Framework — Define risk categories spanning ethical, technical, security, privacy, and societal impact considerations.) -- matched terms: security"
M.RM-03,Art. 15(cyber) - Infrastructure Security,"ARISE control Cybersecurity Risk Management (MANAGE) maps to Art. 15(cyber) - Infrastructure Security of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 6 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-03-req-01 (Vulnerability Identification: Use automated scanning (SAST/DAST/SCA/IaC), penetration testing, and red-team exercises.) -- matched terms: penetration, scan, vulnerability"
M.RP,Art. 15(cyber) - AI Cybersecurity,"ARISE control Reporting (MANAGE) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 1 of 8 requirements demonstrate direct keyword alignment to this standard: M.RP-req-02 (Content Requirements: Include risk posture, incidents, performance metrics, TEVV results, and trend analysis.) -- matched terms: incident. These requirements substantively address prEN 18282 obligations at the individual requirement level, confirming strong traceability."
I.AM-01,Art. 15(cyber) - AI Cybersecurity,"ARISE control AI System Inventory (IDENTIFY) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 2 of 10 requirements demonstrate direct keyword alignment to this standard: I.AM-01-req-03 (Minimum Metadata: Capture system name/ID, purpose/intended use, prohibited use, risk tier, business criticality, owners, data categories/rights/license, training/inference data sources, model family, versions, hyperparameters, lineage, fine-tune history, evaluation metrics, deployment targets, endpoints, dependencies (libraries/models/APIs), and support/SLA.) -- matched terms: endpoint"
I.AM-02,Art. 15(cyber) - AI Cybersecurity,"ARISE control System Asset Management (IDENTIFY) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 7 of 9 requirements demonstrate direct keyword alignment to this standard: I.AM-02-req-01 (Authoritative Inventory: Central CMDB integrated with cloud accounts, container/orchestration, and SaaS discovery; requires asset tags/labels in IaC. (100% internet-exposed and critical systems inventoried with )) -- matched terms: contain"
I.AM-03,Art. 15(cyber) - AI Cybersecurity,"ARISE control BYOD Asset Management (IDENTIFY) maps to Art. 15(cyber) - AI Cybersecurity of prEN 18282, which covers AI cybersecurity including protection against data poisoning, model poisoning, adversarial examples, and evasion attacks. 4 of 7 requirements demonstrate direct keyword alignment to this standard: I.AM-03-req-01 (Enrollment & Posture: Enforce MDM/MAM; require encryption, lock, OS support level, patch posture, and approved security apps. (100% BYOD enrolled before access.)) -- matched terms: security"
