arise_control_id,prEN 18284 Reference,rationale
G.GV.C-02,Art. 10.3 - Bias Controls,"ARISE control COC: Data Ethics (GOVERN) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.C-02-req-01 (Data Ethics Principles: Define fairness, transparency, accountability, privacy, inclusivity.) -- matched terms: data, fairness, privacy"
G.GV.C-03,Art. 10.3 - Bias Controls,"ARISE control COC: Ethical Principles for AI & Tech (GOVERN) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.C-03-req-04 (Fairness Assessments: Quantitative/qualitative bias testing pre-deployment.) -- matched terms: bias, fairness. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-01,Art. 10 - Data Governance,"ARISE control Core Policies (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Establish, maintain, and govern a cohesive suite of core policies across security, privacy, AI governance, ethics, and resilience.. None of the 8 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
G.GV.P-02,Art. 10 - Data Quality & Governance,"ARISE control Security Policies (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-02-req-04 (Exception Handling: Deviations only with compensating controls and risk acceptance.) -- matched terms: handling. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-03,Art. 10 - Data Quality & Governance,"ARISE control Response & Resilience Policies (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Ensure preparedness, continuity, and rapid recovery via IR, BCP, and DR policies.. None of the 7 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
G.GV.P-04,Art. 10 - Data Quality & Governance,"ARISE control AI Policies (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-04-req-01 (Policy Components: Data governance, model development, transparency, human oversight, fairness, explainability, robustness, lifecycle monitoring.) -- matched terms: data, data governance, fairness"
G.GV.P-05,Art. 10 - Data Governance,"ARISE control Privacy Policies (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 4 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-05-req-02 (Data Minimization: Collect only necessary attributes; define retention limits.) -- matched terms: data, retention"
G.GV.P-06,Art. 10.3 - Bias Controls,"ARISE control Ethics Policies (GOVERN) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-06-req-01 (Ethics Framework: Define core principles (respect, fairness, accountability, transparency, non-maleficence).) -- matched terms: fairness. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-07,Art. 10 - Data Quality & Governance,"ARISE control HR Policies (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-07-req-06 (High-Value Role Management: Identify critical roles (e.g., AI Model Engineers, Database Admins) and apply enhanced personnel security (e.g., continuous background vetting, vacation mandates).) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-08,Art. 10 - Data Governance,"ARISE control Supply-Chain Policies (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-08-req-01 (Supplier Classification: Categorize suppliers by risk.) -- matched terms: classification"
G.GV.P-09,Art. 10.2 - Data Quality Requirements,"ARISE control Data-Governance Policies (GOVERN) maps to Art. 10.2 - Data Quality Requirements of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 5 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-09-req-01 (Data Ownership: Assign owners/stewards for critical datasets.) -- matched terms: data, dataset"
G.GV.S-01,Art. 10 - Data Quality & Governance,"ARISE control Core Standards (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Define and maintain organizational standards that operationalize policy commitments into measurable, auditable controls.. None of the 9 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
G.GV.S-02,Art. 10 - Data Governance,"ARISE control Security Standards (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 10 requirements demonstrate direct keyword alignment to this standard: G.GV.S-02-req-02 (Cryptographic Standards: Algorithms, key lengths, rotation, approved libraries.) -- matched terms: cryptograph"
G.GV.S-03,Art. 10 - Data Quality & Governance,"ARISE control Response & Resilience Standards (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.S-03-req-1 (Response Activation Criteria: Thresholds for cyber, AI failure, privacy breach.) -- matched terms: privacy"
G.GV.S-04,Art. 10 - Data Governance,"ARISE control AI Standards (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-04-req-01 (Documentation Standards: Standardized model cards (metadata, purpose, I/O, provenance, metrics, risk classification).) -- matched terms: classification, data"
G.LR-01,Art. 10 - Data Governance,"ARISE control Data Privacy Compliance (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 5 of 9 requirements demonstrate direct keyword alignment to this standard: G.LR-01-req-01 (Legal Register by jurisdiction with mapped obligations (notice, consent, transfers, retention, breach).) -- matched terms: retention"
G.LR-02,Art. 10 - Data Governance,"ARISE control Intellectual Property (IP) Management (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 9 requirements demonstrate direct keyword alignment to this standard: G.LR-02-req-01 (Confidentiality Agreements: NDAs for handling proprietary info.) -- matched terms: handling"
G.LR-03,Art. 10 - Data Quality & Governance,"ARISE control AI Regulatory Compliance (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-03-req-05 (Technical Documentation: Model cards, data sheets, test results.) -- matched terms: data"
G.LR-04,Art. 10 - Data Quality & Governance,"ARISE control Cybersecurity Regulatory Compliance (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.LR-04-req-04 (Evidence Retention: Maintain logs, audit trails, pen-test reports.) -- matched terms: retention. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.LR-05,Art. 10.3 - Bias Controls,"ARISE control Ethical Use, Fairness & Bias Compliance (GOVERN) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-05-req-01 (Transparency Controls: Document model purpose, limits, data sources.) -- matched terms: data"
G.OV,Art. 10 - Data Quality & Governance,"ARISE control Org Values & Governance (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.OV-req-01 (Values Definition & Governance: Define tenets (Accountability, Fairness, Inclusivity, Transparency, Integrity, Stewardship); leadership endorsement and annual reaffirmation.) -- matched terms: fairness. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.PR-01,Art. 10 - Data Governance,"ARISE control Privacy Program (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 8 of 11 requirements demonstrate direct keyword alignment to this standard: G.PR-01-req-01 (Governance Structure: Appoint DPO/privacy leader; define roles.) -- matched terms: privacy"
G.RM-01,Art. 10 - Data Governance,"ARISE control Risk Management Framework (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-01-req-04 (Risk Taxonomy: Strategic, operational, cyber, privacy, AI, compliance, third-party.) -- matched terms: privacy. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.RM-02,Art. 10 - Data Quality & Governance,"ARISE control Risk Appetite and Tolerance (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.RM-02-req-02 (Tolerance Metrics: Quantitative limits (loss thresholds, AI bias deviation).) -- matched terms: bias"
G.RM-03,Art. 10 - Data Quality & Governance,"ARISE control Risk Management Program: AI (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-03-req-01 (AI Risk Framework: Ethical, technical, data, security, regulatory, societal.) -- matched terms: data"
G.RM-04,Art. 10 - Data Quality & Governance,"ARISE control Risk-Management Program: Cybersecurity (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-04-req-08 (Integration with AI Systems: Include model/security/data-exfiltration threats.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.RM-05,Art. 10 - Data Governance,"ARISE control Risk-Management Program: Third-Party (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 4 of 9 requirements demonstrate direct keyword alignment to this standard: G.RM-05-req-01 (Vendor Classification by criticality/data/regulatory exposure.) -- matched terms: classification, data"
G.ST.B,Art. 10 - Data Quality & Governance,"ARISE control System Boundaries (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.B-req-3 (Interface Control: Identify data flows/protocols between zones; require explicit allow rules and identity-aware controls.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
G.ST.O-01,Art. 10 - Data Governance,"ARISE control Mission Statement (GOVERN) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.ST.O-01-req-1 (Mission Definition: Maintain a written mission statement that explains who is served, services/outcomes provided, and principles that guide trustworthy technology and data stewardship.) -- matched terms: data"
G.ST.O-02,Art. 10 - Data Quality & Governance,"ARISE control Goals & Context (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Translate mission into concrete governance goals by evaluating internal/external context, stakeholder expectations, and constraints; ensure objectives are measurable and risk-informed.. None of the 6 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
G.ST.S-01,Art. 10 - Data Quality & Governance,"ARISE control AI Scope (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-01-req-3 (Lifecycle Coverage: Declare governed lifecycle stages (data, training, evaluation, deployment, monitoring, retirement).) -- matched terms: data"
G.ST.S-02,Art. 10 - Data Quality & Governance,"ARISE control Security Scope (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-02-req-01 (In-Scope Asset Types: Define asset classes covered (including AI datasets/models, hardware, software, cloud resources).) -- matched terms: data, dataset"
G.ST.S-03,Art. 10 - Data Quality & Governance,"ARISE control Regulatory Scope (GOVERN) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 5 requirements demonstrate direct keyword alignment to this standard: G.ST.S-03-req-3 (Evidence Strategy: Define required records, retention, and reporting triggers.) -- matched terms: retention. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
M.CM,Art. 10 - Data Governance,"ARISE control Change Management (MANAGE) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 8 requirements demonstrate direct keyword alignment to this standard: M.CM-req-04 (Model Lifecycle Control: Track model versioning, dataset hashes, and lineage metadata for AI systems.) -- matched terms: data, dataset. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
M.DV-01,Art. 10 - Data Quality & Governance,"ARISE control AI System Lifecycle (MANAGE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 8 requirements demonstrate direct keyword alignment to this standard: M.DV-01-req-03 (Documentation Requirements: Require model cards, data sheets, and fairness/robustness testing reports.) -- matched terms: data, fairness"
M.DV-02,Art. 10 - Data Governance,"ARISE control Software Development Lifecycle (SDLC) (MANAGE) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. The control addresses: Embed secure coding, privacy, and responsible-AI practices in all software development.. None of the 7 individual requirements contain explicit keyword matches to prEN 18284 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18284 language to one or more requirements to strengthen direct traceability."
M.HR,Art. 10 - Data Quality & Governance,"ARISE control Human Resources (MANAGE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.HR-req-06 (Training: Provide annual security, privacy, and AI ethics training.) -- matched terms: privacy"
M.OV-01,Art. 10.3 - Bias Controls,"ARISE control Ethics Oversight Committee (MANAGE) maps to Art. 10.3 - Bias Controls of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-01-req-03 (Membership Composition: Ensure cross-functional participation including legal, HR, engineering, data science, and external advisors.) -- matched terms: data"
M.OV-02,Art. 10 - Data Governance,"ARISE control Privacy Oversight Committee (MANAGE) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-02-req-01 (Charter & Authority: Define committee scope for privacy oversight.) -- matched terms: privacy"
M.OV-03,Art. 10 - Data Quality & Governance,"ARISE control Security Oversight Committee (MANAGE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-03-req-02 (Review of KRIs/KPIs: Evaluate risk, vulnerability trends, patch metrics, and incident data.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
M.PM,Art. 10 - Data Governance,"ARISE control Performance Metrics (MANAGE) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 3 of 8 requirements demonstrate direct keyword alignment to this standard: M.PM-req-01 (KPI Framework — Define standardized KPIs and KRIs aligned with strategic goals and risk appetite (e.g., MTTD, patch compliance, AI model drift rate, bias index, data-loss incidents, control-audit pass rates).) -- matched terms: bias, data"
M.PR,Art. 10 - Data Governance,"ARISE control Privacy Program (MANAGE) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 8 of 8 requirements demonstrate direct keyword alignment to this standard: M.PR-req-01 (ROPA & Data Maps — Maintain comprehensive processing inventories (Records of Processing Activities).) -- matched terms: data"
M.RM-01,Art. 10 - Data Governance,"ARISE control Third-Party Risk Management (MANAGE) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-01-req-01 (Vendor Classification: Categorize vendors by criticality, data access, and AI system impact.) -- matched terms: classification, data"
M.RM-02,Art. 10 - Data Quality & Governance,"ARISE control AI Risk Management (MANAGE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 5 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-02-req-01 (AI Risk Framework — Define risk categories spanning ethical, technical, security, privacy, and societal impact considerations.) -- matched terms: privacy"
M.RM-03,Art. 10 - Data Quality & Governance,"ARISE control Cybersecurity Risk Management (MANAGE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-03-req-07 (Integration with AI Risks: Include adversarial attacks, model-exfiltration risk, dataset-integrity risks, and poisoning vectors.) -- matched terms: data, dataset. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
M.RP,Art. 10 - Data Quality & Governance,"ARISE control Reporting (MANAGE) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 4 of 8 requirements demonstrate direct keyword alignment to this standard: M.RP-req-05 (External Reporting: Align customer assurance and regulatory reporting channels with privacy and cyber frameworks.) -- matched terms: privacy"
I.AM-01,Art. 10 - Data Governance,"ARISE control AI System Inventory (IDENTIFY) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 6 of 10 requirements demonstrate direct keyword alignment to this standard: I.AM-01-req-01 (Inventory Governance: Define ownership (AI Product Owner, Model Owner, Data Steward). Establish registration criteria for what constitutes an AI system and subcomponents.) -- matched terms: data"
I.AM-02,Art. 10 - Data Governance,"ARISE control System Asset Management (IDENTIFY) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 9 requirements demonstrate direct keyword alignment to this standard: I.AM-02-req-02 (Ownership & Classification: Assign a technical and business owner; apply data classification and security categorization; record SBOMs/MBOMs where applicable.) -- matched terms: classification, data"
I.AM-03,Art. 10 - Data Governance,"ARISE control BYOD Asset Management (IDENTIFY) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 7 requirements demonstrate direct keyword alignment to this standard: I.AM-03-req-02 (Containerization: Separate corporate and personal data; enable remote wipe of corporate partition only.) -- matched terms: data, personal"
I.DG-01,Art. 10.4 - Data Lifecycle Management,"ARISE control Data Mapping (IDENTIFY) maps to Art. 10.4 - Data Lifecycle Management of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 5 of 7 requirements demonstrate direct keyword alignment to this standard: I.DG-01-req-01 (Data Inventories: Catalog datasets with owners, categories, sensitivity, purpose, lawful basis. (100% critical data flows documented and current.)) -- matched terms: data, dataset"
I.IM-01,Art. 10 - Data Quality & Governance,"ARISE control AI Impacts (IDENTIFY) maps to Art. 10 - Data Quality & Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: I.IM-01-req-06 (Reassessment: Review after major model/data changes or incidents.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
I.RM-01,Art. 10 - Data Governance,"ARISE control Risk Identification (IDENTIFY) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 2 of 5 requirements demonstrate direct keyword alignment to this standard: I.RM-01-req-01 (Classification: Standardize likelihood/impact scales and KRIs.) -- matched terms: classification"
I.RM-02,Art. 10 - Data Governance,"ARISE control Insider Threat (IDENTIFY) maps to Art. 10 - Data Governance of prEN 18284, which covers AI data quality and governance including dataset requirements, bias controls, data lifecycle management, and data provenance obligations. 1 of 7 requirements demonstrate direct keyword alignment to this standard: I.RM-02-req-07 (User and Entity Behavior Analytics (UEBA): Implement Machine Learning-driven behavioral baselining to establish normal activity patterns for users and entities, enabling the detection of subtle anomalies (e.g., low-and-slow data exfiltration) that evade static rule sets.) -- matched terms: data. These requirements substantively address prEN 18284 obligations at the individual requirement level, confirming strong traceability."
