arise_control_id,ForHumanity Cybersecurity Criteria,rationale
M.HR,"CY-GL-AL-PM-TM-001-2504, CY-GL-AL-PM-TM-002-2504; CY-GL-AL-PM-TM-003-2504; CY-GL-AL-PM-TM-004-2504; CY-GL-AL-IA-TM-002-2504",Control 'Human Resources' primarily addresses monitoring and logging
M.OV-03,CY-GL-AL-EO-TM-001-2504,Control 'Security Oversight Committee' primarily addresses monitoring and logging
M.RM-01,"CY-GL-AL-VM-CY-001-2504, CY-GL-AL-VM-CY-002-2504",Control 'Third-Party Risk Management' primarily addresses monitoring and logging
M.RM-03,CY-GL-AL-RM-CY-002-2504; CY-GL-AL-RM-CY-003-2504,Control 'Cybersecurity Risk Management' primarily addresses monitoring and logging
M.RP,CY-GL-AL-IM-CY-003-2504,Control 'Reporting' primarily addresses incident response and management
P.AC.S-02,CY-GL-AL-VM-CY-005-2504,Control 'AI-Specific Attack Vectors' primarily addresses monitoring and logging
P.AC.M-02,CY-GL-AL-RM-CY-003-2504,Control 'Robustness' primarily addresses monitoring and logging
P.DS-01,CY-GL-AL-TM-TM-003-2504; CY-GL-AL-DS-AC-006-2504,Control 'Classification & Handling' primarily addresses access control and identity.
P.DS-02,CY-GL-AL-CK-TM-001-2504; CY-GL-AL-CK-CY-001-2504; CY-GL-AL-CK-CY-002-2504,Control 'Cryptographic Management' primarily addresses general security and AI governance.
P.ES,CY-GL-AL-AM-CY-001-2504; CY-GL-AL-SC-CY-002-2504; CY-GL-AL-RA-CY-001-2504; CY-GL-AL-AM-TM-001-2504,Control 'Endpoint Security' primarily addresses monitoring and logging
P.IM,CY-GL-AL-IA-CY-001-2504,Control 'Identity Management' primarily addresses monitoring and logging
P.NS,CY-GL-AL-DN-CY-002-2504; CY-GL-AL-DN-CY-003-2504; CY-GL-AL-DN-CY-001-2504,Control 'Network Security' primarily addresses monitoring and logging
P.PS,CY-GL-AL-SC-CY-002-2504; CY-GL-AL-IA-CY-001-2504; CY-GL-AL-SD-CY-001-2504,Control 'Platform Security' primarily addresses monitoring and logging
P.PY-01,CY-GL-AL-PE-CY-001-2504; CY-GL-AL-IA-CY-001-2504(H),Control 'Access Controls' primarily addresses monitoring and logging
P.RC,CY-GL-AL-BC-CY-001-2504; CY-GL-AL-RM-CY-003-2504,Control 'Resilience Controls' primarily addresses monitoring and logging
P.RP-01,CY-GL-AL-BC-CY-001-2504; CY-GL-AL-BC-CY-008-2504,Control 'Business Continuity' primarily addresses business continuity and resilience.
P.RP-02,CY-GL-AL-BC-CY-001-2504; CY-GL-AL-BC-CY-002-2504,Control 'Disaster Recovery' primarily addresses third-party and vendor risk
P.SC,CY-GL-AL-VM-CY-001-2504,Control 'Supply Chain' primarily addresses monitoring and logging
P.SD,CY-GL-AL-SD-CY-001-2504,Control 'Secure Development' primarily addresses code
R.IM-01,CY-GL-AL-IM-CY-001-2504(2.c),Control 'Containment' primarily addresses monitoring and logging
R.IM-02,CY-GL-AL-IM-CY-001-2504(2.d),Control 'Eradication' primarily addresses incident response and management
R.IM-03,CY-GL-AL-BC-CY-001-2504; CY-GL-AL-BC-CY-002-2504,Control 'Disaster Recovery' primarily addresses incident response and management
V.AD-02,CY-GL-AL-SC-CY-001-2504,Control 'External Audit: Security Audit' primarily addresses general security and AI governance.
V.CI-03,CY-GL-AL-QM-QM-001-2504,Control 'Internal Audit: Security Audit' primarily addresses monitoring and logging
V.TE-01,CY-GL-AL-VM-CY-004-2504,Control 'Testing' primarily addresses governance and leadership
