arise_control_id,prEN 18229-2 Reference,rationale
G.GV.P-01,Art. 15 - Robustness Evaluation,"ARISE control Core Policies (GOVERN) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 8 requirements demonstrate direct keyword alignment to this standard: G.GV.P-01-req-08 (Effectiveness Metrics: Measure policy effectiveness beyond simple acknowledgement (e.g., quizzes, violation trends, or testing results).) -- matched terms: metric, test, testing. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Security Policies (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-02-req-05 (Compliance Verification: Continuous monitoring and internal audit.) -- matched terms: verification. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-03,Art. 15 - Robustness Evaluation,"ARISE control Response & Resilience Policies (GOVERN) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-03-req-05 (Testing & Exercises: Annual tabletop, failover, DR testing.) -- matched terms: test, testing. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-04,Art. 15 - Trustworthiness Evaluation,"ARISE control AI Policies (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-04-req-01 (Policy Components: Data governance, model development, transparency, human oversight, fairness, explainability, robustness, lifecycle monitoring.) -- matched terms: robustness. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-05,Art. 15 - Trustworthiness Evaluation,"ARISE control Privacy Policies (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-05-req-07 (Privacy Enhancing Technologies (PETs): Mandate the evaluation and application of technical privacy safeguards (e.g., Differential Privacy, Synthetic Data) for high-sensitivity processing.) -- matched terms: evaluat. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-06,Art. 15 - Trustworthiness Evaluation,"ARISE control Ethics Policies (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Promote integrity, fairness, transparency, and human-centric technology use through enforceable ethical standards.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.GV.P-07,Art. 15 - Trustworthiness Evaluation,"ARISE control HR Policies (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-07-req-05 (Performance & Disciplinary: Link compliance to evaluations; define actions.) -- matched terms: evaluat. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-08,Art. 15 - Trustworthiness Evaluation,"ARISE control Supply-Chain Policies (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Ensure suppliers and partners meet organizational security, privacy, and ethical standards throughout the contract lifecycle.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.GV.P-09,Art. 15 - Trustworthiness Evaluation,"ARISE control Data-Governance Policies (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-09-req-06 (Quality: Define accuracy/validation requirements.) -- matched terms: accuracy, validation. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.S-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Core Standards (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-01-req-01 (Standard Development: Documented Standards with purpose/scope/expectations/references/testing/owners.) -- matched terms: test, testing"
G.GV.S-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Security Standards (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.GV.S-02-req-09 (Verification/Enforcement: Automated scanning, audits, pen testing.) -- matched terms: test, testing, verification. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.S-03,Art. 15 - Robustness Evaluation,"ARISE control Response & Resilience Standards (GOVERN) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.S-03-req-5 (Testing & Exercises: Semi-annual simulations; annual full BCDR tests.) -- matched terms: test, testing. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.GV.S-04,Art. 15 - Testing Methods,"ARISE control AI Standards (GOVERN) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 6 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-04-req-01 (Documentation Standards: Standardized model cards (metadata, purpose, I/O, provenance, metrics, risk classification).) -- matched terms: metric"
G.LR-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Data Privacy Compliance (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Comply with applicable data-protection/privacy laws with demonstrable accountability and oversight.. None of the 9 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.LR-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Intellectual Property (IP) Management (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Protect IP assets—including proprietary data, algorithms, code, documentation, and AI models—while respecting third-party rights.. None of the 9 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.LR-03,Art. 15 - Trustworthiness Evaluation,"ARISE control AI Regulatory Compliance (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-03-req-05 (Technical Documentation: Model cards, data sheets, test results.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.LR-04,Art. 15 - Trustworthiness Evaluation,"ARISE control Cybersecurity Regulatory Compliance (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.LR-04-req-04 (Evidence Retention: Maintain logs, audit trails, pen-test reports.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.LR-05,Art. 15 - Trustworthiness Evaluation,"ARISE control Ethical Use, Fairness & Bias Compliance (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-05-req-03 (Bias Assessment: Pre-deployment testing with demographic/contextual metrics.) -- matched terms: metric, test, testing"
G.OV,Art. 15 - Trustworthiness Evaluation,"ARISE control Org Values & Governance (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.OV-req-06 (Oversight & Accountability: Ethics/AI Governance Committee oversight; metrics and exception reports; periodic independent review.) -- matched terms: metric"
G.PR-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Privacy Program (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 11 requirements demonstrate direct keyword alignment to this standard: G.PR-01-req-02 (Privacy Framework: Principles (lawfulness, fairness, transparency, purpose limitation, minimization, accuracy, storage limitation, integrity/confidentiality, accountability).) -- matched terms: accuracy. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.RM-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Risk Management Framework (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-01-req-05 (Assessment Process: Identification, analysis, evaluation, treatment; quantitative for high-impact.) -- matched terms: evaluat. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.RM-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Risk Appetite and Tolerance (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.RM-02-req-02 (Tolerance Metrics: Quantitative limits (loss thresholds, AI bias deviation).) -- matched terms: metric"
G.RM-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Risk Management Program: AI (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 5 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-03-req-02 (AI Risk Register with tier, mitigations, owner, validation outcomes.) -- matched terms: validation"
G.RM-04,Art. 15 - Trustworthiness Evaluation,"ARISE control Risk-Management Program: Cybersecurity (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-04-req-01 (Vulnerability Management: Automated scanning + manual testing with SLAs.) -- matched terms: test, testing"
G.RM-05,Art. 15 - Trustworthiness Evaluation,"ARISE control Risk-Management Program: Third-Party (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 9 requirements demonstrate direct keyword alignment to this standard: G.RM-05-req-02 (Due Diligence: Questionnaires, attestations (SOC 2, ISO 27001/42001), independent assessments.) -- matched terms: test"
G.ST.B,Art. 15 - Testing Methods,"ARISE control System Boundaries (GOVERN) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.B-req-5 (Change Control: Update boundary artifacts during change approvals; verify via audits/pen tests.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.ST.O-01,Art. 15 - Robustness Evaluation,"ARISE control Mission Statement (GOVERN) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Define and communicate the organization’s purpose and mission so that all security, privacy, resilience, and AI governance activities are clearly aligned to the value the organization delivers and the risks it accepts.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.ST.O-02,Art. 15 - Testing Methods,"ARISE control Goals & Context (GOVERN) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Translate mission into concrete governance goals by evaluating internal/external context, stakeholder expectations, and constraints; ensure objectives are measurable and risk-informed.. None of the 6 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
G.ST.S-01,Art. 15 - Trustworthiness Evaluation,"ARISE control AI Scope (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-01-req-3 (Lifecycle Coverage: Declare governed lifecycle stages (data, training, evaluation, deployment, monitoring, retirement).) -- matched terms: evaluat. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Security Scope (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-02-req-03 (Environment Separation: Document protection differences across dev/test/prod.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-03,Art. 15 - Trustworthiness Evaluation,"ARISE control Regulatory Scope (GOVERN) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 5 requirements demonstrate direct keyword alignment to this standard: G.ST.S-03-req-5 (Assurance: Periodically test controls against obligations.) -- matched terms: test. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
M.CM,Art. 15 - Trustworthiness Evaluation,"ARISE control Change Management (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 3 of 8 requirements demonstrate direct keyword alignment to this standard: M.CM-req-02 (Testing & Validation: Mandate pre-deployment testing, rollback, and reproducibility verification.) -- matched terms: test, testing, validation, verification"
M.DV-01,Art. 15 - Testing Methods,"ARISE control AI System Lifecycle (MANAGE) maps to Art. 15 - Testing Methods of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 5 of 8 requirements demonstrate direct keyword alignment to this standard: M.DV-01-req-02 (Intake Forms & Risk Evaluation: Mandate intake forms with ethical-risk evaluation.) -- matched terms: evaluat"
M.DV-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Software Development Lifecycle (SDLC) (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 1 of 7 requirements demonstrate direct keyword alignment to this standard: M.DV-02-req-04 (Require threat modeling and security testing (SAST, DAST, IAST).) -- matched terms: test, testing. These requirements substantively address prEN 18229-2 obligations at the individual requirement level, confirming strong traceability."
M.HR,Art. 15 - Trustworthiness Evaluation,"ARISE control Human Resources (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Ensure personnel practices uphold confidentiality, integrity, and responsible-technology culture.. None of the 7 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
M.OV-01,Art. 15 - Trustworthiness Evaluation,"ARISE control Ethics Oversight Committee (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-01-req-04 (Ethical Review Process: Evaluate bias, fairness, cultural impact, explainability, and proportionality.) -- matched terms: evaluat"
M.OV-02,Art. 15 - Trustworthiness Evaluation,"ARISE control Privacy Oversight Committee (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 2 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-02-req-03 (Data Minimization Verification: Validate that designs meet data-minimization principles.) -- matched terms: verification"
M.OV-03,Art. 15 - Robustness Evaluation,"ARISE control Security Oversight Committee (MANAGE) maps to Art. 15 - Robustness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 4 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-03-req-02 (Review of KRIs/KPIs: Evaluate risk, vulnerability trends, patch metrics, and incident data.) -- matched terms: evaluat, metric"
M.PM,Art. 15 - Accuracy Limits & Benchmarks,"ARISE control Performance Metrics (MANAGE) maps to Art. 15 - Accuracy Limits & Benchmarks of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. 5 of 8 requirements demonstrate direct keyword alignment to this standard: M.PM-req-01 (KPI Framework — Define standardized KPIs and KRIs aligned with strategic goals and risk appetite (e.g., MTTD, patch compliance, AI model drift rate, bias index, data-loss incidents, control-audit pass rates).) -- matched terms: drift"
M.PR,Art. 15 - Trustworthiness Evaluation,"ARISE control Privacy Program (MANAGE) maps to Art. 15 - Trustworthiness Evaluation of prEN 18229-2, which covers AI system accuracy and robustness including testing methods, numerical accuracy limits, performance benchmarks, and robustness evaluation against distribution shift and adversarial conditions. The control addresses: Operationalize day-to-day privacy management integrated with cybersecurity and AI governance.. None of the 8 individual requirements contain explicit keyword matches to prEN 18229-2 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18229-2 language to one or more requirements to strengthen direct traceability."
