arise_control_id,ARISE Domain,AU Strategy Sections Mapped,AU Themes,AU Article References,rationale
G.GV.S-01,GOVERN,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers",AI Governance & Regulation,Section 2.4.1,AU-GOV-05: 1 req(s) match (G.GV.S-01-req-06) on: accountability.
G.GV.S-02,GOVERN,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (G.GV.S-02-req-01) on: rec.
G.GV.S-03,GOVERN,"AU-RISK-01: AI Risk Identification - Bias, Discrimination, Privacy; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Risk Management; Cooperation & Partnerships,Section 1.4.2; Section 2.4.6.1,AU-RISK-01: 1 req(s) match (G.GV.S-03-req-1) on: privacy breach. ; AU-COOP-01: 1 req(s) match (G.GV.S-03-req-3) on: rec.
G.GV.S-04,GOVERN,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI",AI Governance & Regulation; Ethics & Responsible AI,Section 2.4.1; Section 2.2,"AU-GOV-04: 1 req(s) match (G.GV.S-04-req-04) on: explainability. ; AU-GOV-05: 2 req(s) match (G.GV.S-04-req-02, G.GV.S-04-req-04) on: explainab, transparency. ; AU-ETH-01: 1 req(s) match (G.GV.S-04-req-05) on: fairness, inclusivity. ; AU-ETH-02: 1 req(s) match (G.GV.S-04-req-04) on: bias."
G.LR-01,GOVERN,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Data Governance; AI for Development; Cooperation & Partnerships,Section 2.4.1; Section 2.4.2.3; Section 2.4.6.1,AU-GOV-05: 1 req(s) match (G.LR-01-req-04) on: accountability. ; AU-DATA-02: 1 req(s) match (G.LR-01-req-09) on: privacy law. ; AU-SEC-03: 1 req(s) match (G.LR-01-req-03) on: sme. ; AU-COOP-01: 1 req(s) match (G.LR-01-req-07) on: rec.
G.LR-02,GOVERN,"AU-GOV-06: Existing Legal Frameworks - Data Protection, Cybersecurity, IP",AI Governance & Regulation,Section 2.4.1,AU-GOV-06: control name references intellectual property.
G.LR-03,GOVERN,"AU-GOV-03: Risk-Based AI Regulation and Regulatory Gaps; AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-RISK-01: AI Risk Identification - Bias, Discrimination, Privacy; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-INVEST-01: Public and Private Sector Investment in AI",AI Governance & Regulation; Ethics & Responsible AI; Risk Management; AI for Development; Investment,Section 2.4.1; Section 2.2; Section 1.4.2; Section 2.4.2.3; Section 2.4.5,"AU-GOV-03: control name references regulatory compliance. ; AU-GOV-04: 1 req(s) match (G.LR-03-req-08) on: impact assessment. ; AU-GOV-05: 1 req(s) match (G.LR-03-req-03) on: transparency. ; AU-ETH-01: 2 req(s) match (G.LR-03-req-07, G.LR-03-req-08) on: fairness, human rights, non-discrimination. ; AU-RISK-01: 1 req(s) match (G.LR-03-req-08) on: discrimination. ; AU-SEC-03: 3 req(s) match (G.LR-03-req-06, G.LR-03-req-07, G.LR-03-req-08) on: sme. ; AU-INVEST-01: 1 req(s) match (G.LR-03-req-08) on: fund."
G.LR-04,GOVERN,AU-GOV-03: Risk-Based AI Regulation and Regulatory Gaps,AI Governance & Regulation,Section 2.4.1,AU-GOV-03: 1 req(s) match (G.LR-04-req-07) on: regulatory framework.
G.LR-05,GOVERN,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-INC-01: Gender Equality, Inclusion and Diversity in AI; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; AI for Development; Inclusion & Diversity; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.2.3; Section 2.4.4.1; Section 2.4.6.1,"AU-GOV-05: 1 req(s) match (G.LR-05-req-01) on: transparency. ; AU-ETH-01: 3 req(s) match (G.LR-05-req-02, G.LR-05-req-06, G.LR-05-req-08) on: fairness. ; AU-ETH-02: 3 req(s) match (G.LR-05-req-03, G.LR-05-req-04, G.LR-05-req-08) on: bias. ; AU-SEC-03: 1 req(s) match (G.LR-05-req-03) on: sme. ; AU-INC-01: 1 req(s) match (G.LR-05-req-08) on: gender. ; AU-COOP-01: 1 req(s) match (G.LR-05-req-04) on: rec."
G.OV,GOVERN,"AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu",AI Governance & Regulation; Ethics & Responsible AI,Section 2.4.1; Section 2.2,"AU-GOV-01: 1 req(s) match (G.OV-req-06) on: ai governance, ai governance committee. ; AU-GOV-05: 2 req(s) match (G.OV-req-01, G.OV-req-06) on: accountability, transparency. ; AU-ETH-01: 1 req(s) match (G.OV-req-01) on: fairness, inclusivity."
G.PR-01,GOVERN,"AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers",AI Governance & Regulation; Ethics & Responsible AI; Data Governance,Section 2.4.1; Section 2.2,"AU-GOV-01: 1 req(s) match (G.PR-01-req-01) on: governance structure. ; AU-GOV-04: 1 req(s) match (G.PR-01-req-08) on: privacy by design. ; AU-GOV-05: 1 req(s) match (G.PR-01-req-02) on: accountability, transparency. ; AU-ETH-01: 1 req(s) match (G.PR-01-req-02) on: fairness. ; AU-DATA-02: 2 req(s) match (G.PR-01-req-02, G.PR-01-req-05) on: data subject, privacy framework."
G.RM-01,GOVERN,AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation,AI Governance & Regulation; AI for Development; Cooperation & Partnerships,Section 2.4.1; Section 2.4.2.3; Section 2.4.6.1,AU-GOV-01: 1 req(s) match (G.RM-01-req-02) on: governance structure. ; AU-SEC-03: 1 req(s) match (G.RM-01-req-05) on: sme. ; AU-COOP-01: 1 req(s) match (G.RM-01-req-03) on: rec.
G.RM-02,GOVERN,"AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI",Ethics & Responsible AI,Section 2.2,"AU-ETH-02: 2 req(s) match (G.RM-02-req-02, G.RM-02-req-07) on: bias."
G.RM-03,GOVERN,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; AI for Development; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.2.3; Section 2.4.6.1,"AU-GOV-04: 1 req(s) match (G.RM-03-req-06) on: explainability. ; AU-GOV-05: 1 req(s) match (G.RM-03-req-06) on: explainab. ; AU-ETH-02: 3 req(s) match (G.RM-03-req-06, G.RM-03-req-07, G.RM-03-req-10) on: bias. ; AU-SEC-03: 2 req(s) match (G.RM-03-req-03, G.RM-03-req-09) on: sme. ; AU-COOP-01: 1 req(s) match (G.RM-03-req-08) on: rec."
G.RM-04,GOVERN,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (G.RM-04-req-10) on: rec.
G.RM-05,GOVERN,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security; AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",Risk Management; Data Governance; AI for Development,Section 2.4.4.2; Section 2.4.1; Section 2.4.2.3,AU-RISK-03: 1 req(s) match (G.RM-05-req-06) on: incident response. ; AU-DATA-02: 1 req(s) match (G.RM-05-req-03) on: data protection. ; AU-SEC-03: 1 req(s) match (G.RM-05-req-02) on: sme.
G.ST.O-01,GOVERN,"AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",Ethics & Responsible AI; Cooperation & Partnerships,Section 2.2; Section 2.4.6.1,AU-ETH-02: 1 req(s) match (G.ST.O-01-req-2) on: responsible ai. ; AU-COOP-01: 1 req(s) match (G.ST.O-01-req-6) on: rec.
G.ST.O-02,GOVERN,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (G.ST.O-02-req-5) on: rec.
G.ST.S-01,GOVERN,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (G.ST.S-01-req-6) on: rec.
G.ST.S-03,GOVERN,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (G.ST.S-03-req-3) on: rec.
M.DV-01,MANAGE,"AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu",Ethics & Responsible AI,Section 2.2,AU-ETH-01: 1 req(s) match (M.DV-01-req-03) on: fairness.
M.HR,MANAGE,"AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI",Ethics & Responsible AI,Section 2.2,AU-ETH-02: 1 req(s) match (M.HR-req-06) on: ai ethics.
M.OV-01,MANAGE,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.6.1,"AU-GOV-04: 1 req(s) match (M.OV-01-req-04) on: explainability. ; AU-GOV-05: 2 req(s) match (M.OV-01-req-04, M.OV-01-req-07) on: explainab, transparency. ; AU-ETH-01: 1 req(s) match (M.OV-01-req-04) on: fairness. ; AU-ETH-02: 2 req(s) match (M.OV-01-req-04, M.OV-01-req-07) on: ai ethics, bias. ; AU-COOP-01: 1 req(s) match (M.OV-01-req-05) on: rec."
M.OV-02,MANAGE,AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem,AI Governance & Regulation; AI for Development,Section 2.4.1; Section 2.4.2.3,AU-GOV-04: 1 req(s) match (M.OV-02-req-02) on: impact assessment. ; AU-SEC-03: 1 req(s) match (M.OV-02-req-02) on: sme.
M.OV-03,MANAGE,AU-INVEST-01: Public and Private Sector Investment in AI,Investment,Section 2.4.5,AU-INVEST-01: 1 req(s) match (M.OV-03-req-04) on: investment.
M.PM,MANAGE,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-INC-01: Gender Equality, Inclusion and Diversity in AI",AI Governance & Regulation; Ethics & Responsible AI; Inclusion & Diversity,Section 2.4.1; Section 2.2; Section 2.4.4.1,AU-GOV-05: 1 req(s) match (M.PM-req-02) on: accountability. ; AU-ETH-02: 1 req(s) match (M.PM-req-01) on: bias. ; AU-INC-01: 1 req(s) match (M.PM-req-08) on: inclusion.
M.PR,MANAGE,"AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.6.1,AU-GOV-01: 1 req(s) match (M.PR-req-04) on: ai governance. ; AU-GOV-05: 1 req(s) match (M.PR-req-04) on: transparency. ; AU-ETH-01: 1 req(s) match (M.PR-req-04) on: fairness. ; AU-COOP-01: 1 req(s) match (M.PR-req-01) on: rec.
M.RM-01,MANAGE,"AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",AI Governance & Regulation; Ethics & Responsible AI; Data Governance; AI for Development,Section 2.4.1; Section 2.2; Section 2.4.2.3,"AU-GOV-01: 1 req(s) match (M.RM-01-req-02) on: ai governance. ; AU-GOV-04: 1 req(s) match (M.RM-01-req-05) on: explainability. ; AU-GOV-05: 2 req(s) match (M.RM-01-req-05, M.RM-01-req-09) on: explainab, transparency. ; AU-ETH-01: 1 req(s) match (M.RM-01-req-05) on: fairness. ; AU-DATA-02: 1 req(s) match (M.RM-01-req-03) on: data protection. ; AU-SEC-03: 1 req(s) match (M.RM-01-req-02) on: sme."
M.RM-02,MANAGE,"AU-GOV-01: AI Governance - Multi-Tiered Approach; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",AI Governance & Regulation; Ethics & Responsible AI; AI for Development,Section 2.4.1; Section 2.2; Section 2.4.2.3,AU-GOV-01: 1 req(s) match (M.RM-02-req-09) on: governance framework. ; AU-ETH-02: 1 req(s) match (M.RM-02-req-06) on: bias. ; AU-SEC-03: 1 req(s) match (M.RM-02-req-04) on: sme.
M.RP,MANAGE,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (M.RP-req-06) on: rec.
I.AM-01,IDENTIFY,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 4 req(s) match (I.AM-01-req-04, I.AM-01-req-06, I.AM-01-req-07, I.AM-01-req-08) on: rec."
I.AM-02,IDENTIFY,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,"AU-COOP-01: 6 req(s) match (I.AM-02-req-02, I.AM-02-req-04, I.AM-02-req-05, I.AM-02-req-06, I.AM-02-req-07, I.AM-02-req-08) on: rec."
I.AM-03,IDENTIFY,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: 1 req(s) match (I.AM-03-req-07) on: threat detection.
I.DG-01,IDENTIFY,AU-COOP-01: Intra-Africa AI Coordination and Cooperation,Cooperation & Partnerships,Section 2.4.6.1,AU-COOP-01: 1 req(s) match (I.DG-01-req-02) on: rec.
I.IM-01,IDENTIFY,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-RISK-01: AI Risk Identification - Bias, Discrimination, Privacy; AU-RISK-02: AI Safety and Security - Cyber, Disinformation, Critical Infrastructure; AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem; AU-INC-02: Information Integrity and Media Literacy",AI Governance & Regulation; Risk Management; AI for Development; Inclusion & Diversity,Section 2.4.1; Section 1.4.2; Section 2.4.4.2; Section 2.4.2.3; Section 2.4.3.4,"AU-GOV-04: 2 req(s) match (I.IM-01-req-01, I.IM-01-req-03) on: impact assessment. ; AU-GOV-05: 1 req(s) match (I.IM-01-req-07) on: red-teaming. ; AU-RISK-01: 1 req(s) match (I.IM-01-req-01) on: discrimination. ; AU-RISK-02: 1 req(s) match (I.IM-01-req-07) on: misinformation. ; AU-RISK-03: 1 req(s) match (I.IM-01-req-05) on: incident response. ; AU-SEC-03: 3 req(s) match (I.IM-01-req-01, I.IM-01-req-03, I.IM-01-req-06) on: sme. ; AU-INC-02: 1 req(s) match (I.IM-01-req-07) on: misinformation."
I.RM-01,IDENTIFY,"AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI",Ethics & Responsible AI,Section 2.2,AU-ETH-02: 1 req(s) match (I.RM-01-req-03) on: bias.
I.RM-02,IDENTIFY,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: 1 req(s) match (I.RM-02-req-05) on: incident response.
I.SC-01,IDENTIFY,"AU-DATA-02: Personal Data Protection, Privacy and Cross-Border Transfers; AU-SEC-03: Private Sector AI Adoption and Startup Ecosystem",Data Governance; AI for Development,Section 2.4.1; Section 2.4.2.3,AU-DATA-02: 1 req(s) match (I.SC-01-req-02) on: data protection. ; AU-SEC-03: 1 req(s) match (I.SC-01-req-01) on: sme.
I.TH-02,IDENTIFY,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu",AI Governance & Regulation; Ethics & Responsible AI,Section 2.4.1; Section 2.2,AU-GOV-04: 1 req(s) match (I.TH-02-req-03) on: explainability. ; AU-GOV-05: 1 req(s) match (I.TH-02-req-03) on: explainab. ; AU-ETH-01: 1 req(s) match (I.TH-02-req-03) on: fairness.
P.AC.M-01,PROTECT,"AU-ETH-01: Ethical Principles - Human Rights, Dignity, Ubuntu; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-RISK-01: AI Risk Identification - Bias, Discrimination, Privacy",Ethics & Responsible AI; Risk Management,Section 2.2; Section 1.4.2,"AU-ETH-01: 5 req(s) match (P.AC.M-01-req-01, P.AC.M-01-req-02, P.AC.M-01-req-03, P.AC.M-01-req-06, P.AC.M-01-req-07) on: fairness. ; AU-ETH-02: control name references bias. ; AU-RISK-01: 1 req(s) match (P.AC.M-01-req-02) on: fairness metric."
P.AC.M-02,PROTECT,AU-COOP-01: Intra-Africa AI Coordination and Cooperation; AU-INVEST-01: Public and Private Sector Investment in AI,Cooperation & Partnerships; Investment,Section 2.4.6.1; Section 2.4.5,AU-COOP-01: 1 req(s) match (P.AC.M-02-req-05) on: rec. ; AU-INVEST-01: 1 req(s) match (P.AC.M-02-req-05) on: fund.
P.AC.M-03,PROTECT,"AU-GOV-04: AI Impact Assessment and Evaluation Tools; AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Cooperation & Partnerships,Section 2.4.1; Section 2.4.6.1,AU-GOV-04: control name references explainability. ; AU-GOV-05: 1 req(s) match (P.AC.M-03-req-05) on: transparency. ; AU-COOP-01: 1 req(s) match (P.AC.M-03-req-05) on: rec.
P.AC.S-01,PROTECT,"AU-GOV-05: AI Transparency, Accountability and Algorithmic Registers; AU-ETH-02: Codes of Conduct, Ethics Policies and Responsible AI; AU-DATA-01: Data Governance, Quality, Diversity and Availability; AU-COOP-01: Intra-Africa AI Coordination and Cooperation",AI Governance & Regulation; Ethics & Responsible AI; Data Governance; Cooperation & Partnerships,Section 2.4.1; Section 2.2; Section 2.4.3.1; Section 2.4.6.1,AU-GOV-05: 1 req(s) match (P.AC.S-01-req-06) on: bias mitigation. ; AU-ETH-02: 1 req(s) match (P.AC.S-01-req-06) on: bias. ; AU-DATA-01: 1 req(s) match (P.AC.S-01-req-05) on: data governance. ; AU-COOP-01: 1 req(s) match (P.AC.S-01-req-01) on: rec.
P.AC.S-02,PROTECT,"AU-RISK-03: Minimising AI Risks - Cybersecurity, Peace and Security",Risk Management,Section 2.4.4.2,AU-RISK-03: 1 req(s) match (P.AC.S-02-req-04) on: threat detection.
