arise_control_id,AIUC-1 Requirement IDs / Names,AIUC-1 Control IDs,rationale
M.DV-01,A006 (A. Data & Privacy): Prevent PII leakage; B003 (B. Security): Manage public release of technical details; B007 (B. Security): Enforce user access privileges to AI systems; B008 (B. Security): Protect AI system deployment environment; C001 (C. Safety): Define AI risk taxonomy; C002 (C. Safety): Conduct pre-deployment testing; C005 (C. Safety): Prevent customer-defined high risk outputs; D003 (D. Reliability): Restrict unsafe tool calls; E004 (E. Accountability): Assign accountability; E007 (E. Accountability): Document system change approvals; E008 (E. Accountability): Review internal processes; E013 (E. Accountability): Implement quality management system; E015 (E. Accountability): Log AI system activity; E017 (E. Accountability): Document system transparency policy,A006.2; B003.1; B003.2; B007.2; B008.1; B008.2; B008.3; B008.4; B008.5; B008.6; C001.2; C002.1; C002.2; C002.3; C005.2; D003.4; E004.1; E004.2; E007.1; E008.1; E013.1; E013.2; E013.3; E013.4; E013.5; E015.2; E017.1; E017.2; E017.3,"B003.1: Documentation: Technical information disclosure guidelines — Limit public disclosure of architectures, training data, configs; require approval."
M.DV-02,B008 (B. Security): Protect AI system deployment environment,B008.1; B008.2; B008.3; B008.4; B008.5; B008.6,"B008.2: Config: API and agentic interface authentication — Scoped tokens/signed requests, OAuth/OIDC for MCP, mutual auth for agent-to-agent."
M.OV-01,C007 (C. Safety): Flag high risk outputs for human review,C007.1; C007.2; C007.3,C007.2: Config: High-risk detection mechanisms — Automated detection/risk-scoring/classification to flag outputs for review.
M.OV-03,E004 (E. Accountability): Assign accountability; E008 (E. Accountability): Review internal processes; E013 (E. Accountability): Implement quality management system,E004.1; E004.2; E008.1; E008.2; E013.1; E013.2; E013.3; E013.4; E013.5,E004.2: Config: Code signing implementation — Code signing/verification so only signed AI models/libraries/artifacts reach production.
M.PM,C003 (C. Safety): Prevent harmful outputs; C008 (C. Safety): Monitor AI risk categories; E008 (E. Accountability): Review internal processes; E013 (E. Accountability): Implement quality management system,C003.4; C008.1; C008.2; C008.4; E008.1; E008.2; E013.1; E013.2; E013.3; E013.4; E013.5,C008.1: Logs: AI risk monitoring — Ongoing monitoring across risk categories with sampling and trend tracking.
M.RM-02,C001 (C. Safety): Define AI risk taxonomy,C001.1; C001.2,C001.2: Documentation: Risk taxonomy reviews — Maintain taxonomy currency via documented periodic reviews/change management.
M.RM-03,F002 (F. Society): Prevent catastrophic misuse,F002.1; F002.2,F002.2: Config: Catastrophic misuse monitoring — Monitor/alert on CBRN/weapons-development misuse patterns and log blocked attempts.
P.AC.M-01,C003 (C. Safety): Prevent harmful outputs,C003.1; C003.2; C003.3; C003.4,C003.2: Config: Guardrails for high-risk advice — Guardrails/disclaimers restricting high-risk advice in sensitive domains.
P.AC.M-02,B001 (B. Security): Third-party testing of adversarial robustness; B002 (B. Security): Detect adversarial input; B004 (B. Security): Prevent AI endpoint scraping; B005 (B. Security): Implement real-time input filtering; B006 (B. Security): Prevent unauthorized AI agent actions; C003 (C. Safety): Prevent harmful outputs; C006 (C. Safety): Prevent output vulnerabilities; D003 (D. Reliability): Restrict unsafe tool calls; D004 (D. Reliability): Third-party testing of tool calls; E010 (E. Accountability): Establish AI acceptable use policy; F001 (F. Society): Prevent AI cyber misuse; F002 (F. Society): Prevent catastrophic misuse,B001.1; B001.2; B002.1; B002.2; B002.3; B002.4; B002.5; B004.1; B004.2; B004.3; B004.4; B005.1; B005.2; B005.3; B005.4; B005.5; B006.1; B006.2; B006.3; C003.1; C003.2; C003.3; C003.4; C006.1; C006.2; C006.3; D003.1; D003.2; D003.3; D003.4; D003.5; D004.1; E010.1; E010.2; E010.3; E010.4; F001.1; F001.2; F002.1; F002.2,B001.2: Documentation: Security program integration — Integrate AI adversarial testing into broader pentest/security program and calendars.
P.AC.M-03,A002 (A. Data & Privacy): Establish output data policy; A004 (A. Data & Privacy): Protect IP & trade secrets; A007 (A. Data & Privacy): Prevent IP violations; B009 (B. Security): Limit output over-exposure; C004 (C. Safety): Prevent out-of-scope outputs; C005 (C. Safety): Prevent customer-defined high risk outputs; C006 (C. Safety): Prevent output vulnerabilities; C007 (C. Safety): Flag high risk outputs for human review; D001 (D. Reliability): Prevent hallucinated outputs; D002 (D. Reliability): Third-party testing for hallucinations; E003 (E. Accountability): AI failure plan for hallucinations; E014 (E. Accountability): Share transparency reports; E016 (E. Accountability): Implement AI disclosure mechanisms; E017 (E. Accountability): Document system transparency policy,A002.1; A002.2; A004.1; A004.2; A004.3; A004.4; A007.1; A007.2; A007.3; B009.1; B009.2; B009.3; C004.1; C004.2; C004.3; C005.2; C006.1; C006.2; C006.3; C007.1; C007.2; C007.3; D001.1; D001.2; D001.3; D002.1; E003.1; E003.2; E014.1; E016.1; E016.2; E016.3; E016.4; E016.5; E017.1; E017.2; E017.3,A002.2: Config: Opt-in/opt-out and output deletion implementation — Technical enforcement of consent preferences and output deletion workflows.
P.AC.S-01,A001 (A. Data & Privacy): Establish input data policy; A002 (A. Data & Privacy): Establish output data policy; A003 (A. Data & Privacy): Limit AI agent data access; A004 (A. Data & Privacy): Protect IP & trade secrets; A005 (A. Data & Privacy): Prevent cross-customer data exposure; A006 (A. Data & Privacy): Prevent PII leakage; B009 (B. Security): Limit output over-exposure; E005 (E. Accountability): Document data storage security; E013 (E. Accountability): Implement quality management system; E015 (E. Accountability): Log AI system activity,A001.1; A001.2; A001.3; A002.1; A002.2; A003.1; A003.2; A003.3; A003.4; A004.1; A004.2; A004.3; A004.4; A005.1; A005.2; A005.3; A006.1; A006.2; A006.3; B009.1; B009.2; B009.3; E005.1; E013.4; E015.3,"A001.2: Config: Data retention implementation — Technical enforcement of retention/deletion (automated deletion schedules, lifecycle rules, deletion audit logs)."
P.AC.S-02,B001 (B. Security): Third-party testing of adversarial robustness,B001.1; B001.2,B001.2: Documentation: Security program integration — Integrate AI adversarial testing into broader pentest/security program and calendars.
P.AT-01,A004 (A. Data & Privacy): Protect IP & trade secrets,A004.1; A004.2; A004.3; A004.4,"A004.2: Documentation: foundational model IP protections — Leverage provider protections (zero data retention, no-training commitments, privacy guarantees)."
P.DS-01,A001 (A. Data & Privacy): Establish input data policy; A002 (A. Data & Privacy): Establish output data policy; A003 (A. Data & Privacy): Limit AI agent data access; A004 (A. Data & Privacy): Protect IP & trade secrets; A005 (A. Data & Privacy): Prevent cross-customer data exposure; A006 (A. Data & Privacy): Prevent PII leakage; C006 (C. Safety): Prevent output vulnerabilities; D001 (D. Reliability): Prevent hallucinated outputs; E005 (E. Accountability): Document data storage security; E009 (E. Accountability): Monitor third-party access; E011 (E. Accountability): Record processing locations; E013 (E. Accountability): Implement quality management system; E015 (E. Accountability): Log AI system activity; E016 (E. Accountability): Implement AI disclosure mechanisms,A001.1; A001.2; A001.3; A002.1; A002.2; A003.1; A003.2; A003.3; A003.4; A004.1; A004.2; A004.3; A004.4; A005.1; A005.2; A005.3; A006.1; A006.2; A006.3; C006.2; D001.3; E005.1; E009.1; E011.1; E011.2; E013.4; E015.1; E015.2; E015.3; E015.4; E016.1; E016.2; E016.3; E016.4; E016.5,"A001.2: Config: Data retention implementation — Technical enforcement of retention/deletion (automated deletion schedules, lifecycle rules, deletion audit logs)."
P.DS-02,A005 (A. Data & Privacy): Prevent cross-customer data exposure; B008 (B. Security): Protect AI system deployment environment; E005 (E. Accountability): Document data storage security; E015 (E. Accountability): Log AI system activity,A005.1; A005.2; A005.3; B008.1; B008.2; B008.3; B008.4; B008.5; B008.6; E005.1; E015.1; E015.2; E015.3; E015.4,"A005.2: Config: Customer data isolation controls — Enforce logical/physical tenant separation (app_ID isolation, tenant encryption, RAG namespace isolation)."
P.ES,B004 (B. Security): Prevent AI endpoint scraping; B008 (B. Security): Protect AI system deployment environment,B004.1; B004.2; B004.3; B004.4; B008.1; B008.2; B008.3; B008.4; B008.5; B008.6,"B004.2: Config: Rate limits — Per-user quotas, query throttling, progressive restrictions, WAF blocking."
P.IM,A003 (A. Data & Privacy): Limit AI agent data access; A005 (A. Data & Privacy): Prevent cross-customer data exposure; A006 (A. Data & Privacy): Prevent PII leakage; B006 (B. Security): Prevent unauthorized AI agent actions; B007 (B. Security): Enforce user access privileges to AI systems; B008 (B. Security): Protect AI system deployment environment; D003 (D. Reliability): Restrict unsafe tool calls; E009 (E. Accountability): Monitor third-party access,A003.1; A003.2; A003.3; A003.4; A005.1; A005.2; A005.3; A006.1; A006.2; A006.3; B006.1; B006.2; B006.3; B007.1; B007.2; B008.1; D003.1; D003.2; D003.3; D003.4; D003.5; E009.1,A003.2: Config: Alerting system for auth failures — Monitor inference scope and alert on authorization-check failures/deviations.
P.NS,B004 (B. Security): Prevent AI endpoint scraping; B008 (B. Security): Protect AI system deployment environment,B004.1; B004.2; B004.3; B004.4; B008.1; B008.2; B008.3; B008.4; B008.5; B008.6,"B004.2: Config: Rate limits — Per-user quotas, query throttling, progressive restrictions, WAF blocking."
P.PS,A005 (A. Data & Privacy): Prevent cross-customer data exposure; B004 (B. Security): Prevent AI endpoint scraping; B008 (B. Security): Protect AI system deployment environment; E005 (E. Accountability): Document data storage security,A005.1; A005.2; A005.3; B004.1; B004.2; B004.3; B004.4; B008.1; B008.2; B008.3; B008.4; B008.5; B008.6; E005.1,"A005.2: Config: Customer data isolation controls — Enforce logical/physical tenant separation (app_ID isolation, tenant encryption, RAG namespace isolation)."
P.PY-03,A006 (A. Data & Privacy): Prevent PII leakage; A007 (A. Data & Privacy): Prevent IP violations; B004 (B. Security): Prevent AI endpoint scraping; B005 (B. Security): Implement real-time input filtering; B006 (B. Security): Prevent unauthorized AI agent actions; B007 (B. Security): Enforce user access privileges to AI systems; B008 (B. Security): Protect AI system deployment environment; B009 (B. Security): Limit output over-exposure; C003 (C. Safety): Prevent harmful outputs; C004 (C. Safety): Prevent out-of-scope outputs; C005 (C. Safety): Prevent customer-defined high risk outputs; C006 (C. Safety): Prevent output vulnerabilities; C010 (C. Safety): Third-party testing for harmful outputs; C011 (C. Safety): Third-party testing for out-of-scope outputs; D001 (D. Reliability): Prevent hallucinated outputs; D003 (D. Reliability): Restrict unsafe tool calls; E010 (E. Accountability): Establish AI acceptable use policy; F001 (F. Society): Prevent AI cyber misuse; F002 (F. Society): Prevent catastrophic misuse,A006.1; A006.2; A006.3; A007.1; A007.2; A007.3; B004.1; B004.2; B004.3; B004.4; B005.1; B005.2; B005.3; B005.4; B005.5; B006.1; B006.2; B006.3; B007.1; B007.2; B008.1; B008.2; B008.3; B008.4; B008.5; B008.6; B009.1; B009.2; B009.3; C003.1; C003.2; C003.3; C003.4; C004.1; C004.2; C004.3; C005.1; C005.2; C005.3; C006.1; C006.2; C006.3; C010.1; C011.1; D001.1; D001.2; D001.3; D003.1; D003.2; D003.3; D003.4; D003.5; E010.1; E010.2; E010.3; E010.4; F001.1; F001.2; F002.1; F002.2,A006.2: Config: PII access controls — Require RBAC/MFA/approval-gated access to PII-containing systems.
P.SC,E006 (E. Accountability): Conduct vendor due diligence,E006.1,Directly correlates AIUC-1 criteria to ARISE control P.SC. This row consolidates 1 AIUC-1 control/evidence record(s) across 1 requirement(s): E006.
P.SD,B008 (B. Security): Protect AI system deployment environment; C006 (C. Safety): Prevent output vulnerabilities; F001 (F. Society): Prevent AI cyber misuse,B008.1; B008.2; B008.3; B008.4; B008.5; B008.6; C006.3; F001.1; F001.2,"B008.2: Config: API and agentic interface authentication — Scoped tokens/signed requests, OAuth/OIDC for MCP, mutual auth for agent-to-agent."
