arise_control_id,prEN 18286 Reference,rationale
G.GV.C-02,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control COC: Data Ethics (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.C-02-req-01 (Data Ethics Principles: Define fairness, transparency, accountability, privacy, inclusivity.) -- matched terms: accountability"
G.GV.C-03,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control COC: Ethical Principles for AI & Tech (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.C-03-req-02 (Human Oversight: Ensure meaningful human-in-the-loop for high-risk automated decisions.) -- matched terms: oversight"
G.GV.P-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Core Policies (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 5 of 8 requirements demonstrate direct keyword alignment to this standard: G.GV.P-01-req-01 (Policy Framework Structure: Maintain single hierarchical policy architecture across domains.) -- matched terms: policy"
G.GV.P-02,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Security Policies (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-02-req-01 (Policy Content: IAM, encryption, logging, IR, physical security, VM, acceptable use.) -- matched terms: policy"
G.GV.P-03,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Response & Resilience Policies (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 4 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-03-req-01 (Governance Integration: IR/communications/continuity.) -- matched terms: governance"
G.GV.P-04,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control AI Policies (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 4 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-04-req-01 (Policy Components: Data governance, model development, transparency, human oversight, fairness, explainability, robustness, lifecycle monitoring.) -- matched terms: governance, oversight, policy"
G.GV.P-05,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Privacy Policies (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. The control addresses: Define rules for lawful, fair, transparent processing of personal/sensitive data, aligned to AI privacy needs.. None of the 7 individual requirements contain explicit keyword matches to prEN 18286 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18286 language to one or more requirements to strengthen direct traceability."
G.GV.P-06,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Ethics Policies (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-06-req-01 (Ethics Framework: Define core principles (respect, fairness, accountability, transparency, non-maleficence).) -- matched terms: accountability"
G.GV.P-07,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control HR Policies (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.GV.P-07-req-02 (Onboarding Controls: Security/policy training before access.) -- matched terms: policy. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.GV.P-08,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Supply-Chain Policies (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. The control addresses: Ensure suppliers and partners meet organizational security, privacy, and ethical standards throughout the contract lifecycle.. None of the 6 individual requirements contain explicit keyword matches to prEN 18286 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18286 language to one or more requirements to strengthen direct traceability."
G.GV.P-09,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Data-Governance Policies (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.P-09-req-02 (Classification: Apply standard schema.) -- matched terms: standard"
G.GV.S-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Core Standards (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 6 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-01-req-01 (Standard Development: Documented Standards with purpose/scope/expectations/references/testing/owners.) -- matched terms: document, scope, standard"
G.GV.S-02,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Security Standards (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 8 of 10 requirements demonstrate direct keyword alignment to this standard: G.GV.S-02-req-01 (Baseline Configuration Standards: Recognized baselines (e.g., CIS).) -- matched terms: standard"
G.GV.S-03,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Response & Resilience Standards (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 7 requirements demonstrate direct keyword alignment to this standard: G.GV.S-03-req-7 (AI-System Failover: Fallback procedures and human-in-the-loop overrides.) -- matched terms: procedure. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.GV.S-04,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control AI Standards (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 5 of 9 requirements demonstrate direct keyword alignment to this standard: G.GV.S-04-req-01 (Documentation Standards: Standardized model cards (metadata, purpose, I/O, provenance, metrics, risk classification).) -- matched terms: document, standard"
G.LR-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Data Privacy Compliance (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 9 requirements demonstrate direct keyword alignment to this standard: G.LR-01-req-04 (Vendor Accountability: Contracts mirroring privacy obligations.) -- matched terms: accountability. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.LR-02,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Intellectual Property (IP) Management (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. The control addresses: Protect IP assets—including proprietary data, algorithms, code, documentation, and AI models—while respecting third-party rights.. None of the 9 individual requirements contain explicit keyword matches to prEN 18286 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18286 language to one or more requirements to strengthen direct traceability."
G.LR-03,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control AI Regulatory Compliance (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 6 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-03-req-01 (Regulatory Register: Inventory AI-related regulations/standards.) -- matched terms: standard"
G.LR-04,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Cybersecurity Regulatory Compliance (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. The control addresses: Align cybersecurity controls with legal, contractual, and regulatory obligations and maintain continuous compliance.. None of the 7 individual requirements contain explicit keyword matches to prEN 18286 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18286 language to one or more requirements to strengthen direct traceability."
G.LR-05,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Ethical Use, Fairness & Bias Compliance (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 8 requirements demonstrate direct keyword alignment to this standard: G.LR-05-req-01 (Transparency Controls: Document model purpose, limits, data sources.) -- matched terms: document"
G.OV,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Org Values & Governance (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 4 of 7 requirements demonstrate direct keyword alignment to this standard: G.OV-req-01 (Values Definition & Governance: Define tenets (Accountability, Fairness, Inclusivity, Transparency, Integrity, Stewardship); leadership endorsement and annual reaffirmation.) -- matched terms: accountability, governance"
G.PR-01,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Privacy Program (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 11 requirements demonstrate direct keyword alignment to this standard: G.PR-01-req-01 (Governance Structure: Appoint DPO/privacy leader; define roles.) -- matched terms: governance"
G.RM-01,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Risk Management Framework (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-01-req-02 (Governance Structure: Risk Executive; roles for Risk Owners/Control Owners/Risk Committee.) -- matched terms: committee, governance. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.RM-02,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Risk Appetite and Tolerance (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. The control addresses: Define and approve thresholds for acceptable risk across domains.. None of the 7 individual requirements contain explicit keyword matches to prEN 18286 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18286 language to one or more requirements to strengthen direct traceability."
G.RM-03,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Risk Management Program: AI (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-03-req-05 (Ethics & Human Oversight points for decisions/conflicts.) -- matched terms: oversight"
G.RM-04,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Risk-Management Program: Cybersecurity (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 10 requirements demonstrate direct keyword alignment to this standard: G.RM-04-req-07 (Reporting: Quarterly dashboards to Security Committee/Board.) -- matched terms: committee. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.RM-05,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Risk-Management Program: Third-Party (GOVERN) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 9 requirements demonstrate direct keyword alignment to this standard: G.RM-05-req-05 (Change & Offboarding: Reassess on scope change; data return/destruction; credential revocation.) -- matched terms: scope. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.ST.B,Art. 17 / Cl. 9 - QMS Performance Evaluation,"ARISE control System Boundaries (GOVERN) maps to Art. 17 / Cl. 9 - QMS Performance Evaluation of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.B-req-1 (Boundary Definition: Maintain current diagrams/inventories delineating in-scope vs. out-of-scope components, trust zones, and interfaces.) -- matched terms: scope"
G.ST.O-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Mission Statement (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 6 of 7 requirements demonstrate direct keyword alignment to this standard: G.ST.O-01-req-1 (Mission Definition: Maintain a written mission statement that explains who is served, services/outcomes provided, and principles that guide trustworthy technology and data stewardship.) -- matched terms: mission"
G.ST.O-02,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Goals & Context (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.O-02-req-1 (Context Analysis: Document internal (culture/tech) and external (threat/legal) factors.) -- matched terms: document. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control AI Scope (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-01-req-5 (Review Cadence: Reassess scope/risk on material change or at least annually.) -- matched terms: scope. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
G.ST.S-02,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Security Scope (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 3 of 6 requirements demonstrate direct keyword alignment to this standard: G.ST.S-02-req-01 (In-Scope Asset Types: Define asset classes covered (including AI datasets/models, hardware, software, cloud resources).) -- matched terms: scope"
G.ST.S-03,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Regulatory Scope (GOVERN) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 5 requirements demonstrate direct keyword alignment to this standard: G.ST.S-03-req-2 (Control Mapping: Map obligations to policies, standards, and controls; identify gaps and remediation.) -- matched terms: standard. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
M.CM,Art. 17 / Cl. 9 - QMS Performance Evaluation,"ARISE control Change Management (MANAGE) maps to Art. 17 / Cl. 9 - QMS Performance Evaluation of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 8 requirements demonstrate direct keyword alignment to this standard: M.CM-req-01 (Formal RFC Process: Require documented Request for Change (RFC) submissions for all production modifications.) -- matched terms: document, mission"
M.DV-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control AI System Lifecycle (MANAGE) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 3 of 8 requirements demonstrate direct keyword alignment to this standard: M.DV-01-req-01 (Standardized AI Lifecycle Stages: (ideation → deployment → monitoring).) -- matched terms: standard"
M.DV-02,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Software Development Lifecycle (SDLC) (MANAGE) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 7 requirements demonstrate direct keyword alignment to this standard: M.DV-02-req-01 (Policy & Standards: Document secure-development policy and coding standards.) -- matched terms: document, policy, standard. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
M.HR,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Human Resources (MANAGE) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. The control addresses: Ensure personnel practices uphold confidentiality, integrity, and responsible-technology culture.. None of the 7 individual requirements contain explicit keyword matches to prEN 18286 terminology. The mapping is established at the control level based on overall subject matter and domain alignment. This represents a traceability gap at the requirement level -- consider adding explicit prEN 18286 language to one or more requirements to strengthen direct traceability."
M.OV-01,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Ethics Oversight Committee (MANAGE) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 3 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-01-req-01 (Charter Definition: Document mission, authority, roles, quorum, and decision rights.) -- matched terms: charter, document, mission"
M.OV-02,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Privacy Oversight Committee (MANAGE) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-02-req-01 (Charter & Authority: Define committee scope for privacy oversight.) -- matched terms: charter, committee, oversight, scope. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
M.OV-03,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Security Oversight Committee (MANAGE) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 4 of 7 requirements demonstrate direct keyword alignment to this standard: M.OV-03-req-01 (Charter & Mandate: Define responsibilities for security posture, program reviews, and approval authority.) -- matched terms: charter"
M.PM,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Performance Metrics (MANAGE) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 2 of 8 requirements demonstrate direct keyword alignment to this standard: M.PM-req-01 (KPI Framework — Define standardized KPIs and KRIs aligned with strategic goals and risk appetite (e.g., MTTD, patch compliance, AI model drift rate, bias index, data-loss incidents, control-audit pass rates).) -- matched terms: standard"
M.PR,"Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning","ARISE control Privacy Program (MANAGE) maps to Art. 17 / Cl. 4-6 - QMS Context, Leadership & Planning of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 8 requirements demonstrate direct keyword alignment to this standard: M.PR-req-04 (Integration with AI Governance — Link data usage to AI transparency and fairness obligations.) -- matched terms: governance. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
M.RM-01,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control Third-Party Risk Management (MANAGE) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 1 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-01-req-02 (Due Diligence: Perform pre-contract risk assessments covering security, privacy, AI governance, and regulatory posture.) -- matched terms: governance. These requirements substantively address prEN 18286 obligations at the individual requirement level, confirming strong traceability."
M.RM-02,Art. 17 / Cl. 7-8 - QMS Support & Operations,"ARISE control AI Risk Management (MANAGE) maps to Art. 17 / Cl. 7-8 - QMS Support & Operations of prEN 18286, which covers quality management system (QMS) requirements for HRAIS covering context, leadership, planning, support, operations, performance evaluation, and continual improvement. 3 of 9 requirements demonstrate direct keyword alignment to this standard: M.RM-02-req-03 (Human Oversight — Document escalation paths and responsible human controllers for decision checkpoints.) -- matched terms: document, oversight"
